,"Менеджер: 
Email: 
Телефон: ",,"Эмина Арина Ильинична
arinae@megamind.ru
+7 (918) 370-96-97",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Юбка 1,"Материал: пвх
Размер: 71*18 см
Упаковка: коробка (размер 29*20*4,5 см)
Примечание от фабрики: с внутренней стороны есть подсветка", Дизайн: из наличия,250,"10,51","893,17",40-45,"11,72","996,48",30-35,"5,500",5,15-17,
,,,,350,"10,30","875,50",,"11,49","976,99",,,,,
,,,,600,"10,15","863,05",,"11,33","963,33",,,,,
 ,Юбка 2,"Материал: короткий плюш
Размер: 122 см
Упаковка: OPP пакет (размер 20*20 см)
Примечание от фабрики: только один вид дизайна в наличии", Дизайн: из наличия,250,"5,91","502,40",40-45,"6,70","569,16",30-35,"5,500",5,15-17,
,,,,350,"5,78","491,63",,"6,56","557,21",,,,,
,,,,600,"5,69","483,78",,"6,45","548,57",,,,,
 ,Юбка 3,"Материал: акрил
Размер: 122 см
Упаковка: OPP пакет (20*20 см)
Примечание от фабрики: два цвета на выбор: красный и белый

Есть размер меньше - диаметром 61 см. Это подойдет для настольной елки (добавила фото в доп фото)", Дизайн: из наличия,250,"23,78","2021,22",45-50,"26,75","2274,10",35-40,"7,000",5,15-17,
,,,,350,"23,34","1983,65",,"26,26","2232,06",,,,,
,,,,600,"22,67","1926,55",,"25,55","2171,99",,,,,
