,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ клиента ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Блокнот,"Тетрадь на кольцах A5
Размер: (180x220 мм), 120 листов
Материал: под кожу
Нанесение логотипа предусматривается","Материал: обложка - кожзам
Размер: А5 180*200 мм
Упаковка: индивидуальный пакет"," Дизайн: 
- выбор цвета обложки из раскладки
- нанесение логотипа 1 цвет",1000,"5,1","432,9",40-45,"6,1","519,0",30-35,8 500,7,17-19,
 ,ручка,"Ручка шариковая
Материал: пластик
Цвет чернил: синий
Размер корпуса, толщина линии и диаметр шарика не принципиально
Нанесение логотипа предусматривается","Материал: пластик
Размер: 14,3 см
Цвет: черный, белый, зеленый, желый, синий
Примечание от фабрики: шариковая ручка с синими чернилами 
Толщина: 0,5 мм", Дизайн: нанесение лого- шелкография ,1000,"0,3","24,8",35-40,"0,3","27,7",25-30,5 000,5,15-17,
,,,,,,,,,,,,,,,
,ручка,"Ручка шариковая
Материал: пластик
Цвет чернил: синий
Размер корпуса, толщина линии и диаметр шарика не принципиально
Нанесение логотипа предусматривается","Материал: пластик
Размер: 14,3 см
Примечание от фабрики: шариковая ручка с синими чернилами 
Толщина: 0,5 мм", Дизайн: нанесение лого- шелкография ,1000,"0,7","60,2",35-40,"0,8","63,5",25-30,6 000,5,15-17,
,,,,,,,,,,,,,,,
 ,"Приветственный вкладыш (открытка/шпаргалка)

потенциально сложный продукт","Размер: A5 (148x210 мм)
Двухсторонняя печать, полноцветная
Без ламинации
Плотность: 350 г/м²

Предложить помимо шара, варианты в форме коробки, голубя","Материал: бумага плотностью 350 г/м2
Размер: 15*15 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета"," Дизайн: материал на выбор из раскладки фабрики, цвет можно настроить в пантон (точная цена на выкрас - после макета), двустороннее нанесение, уф-печать, 1 цвет 
",1000,"1,1","94,5",40-45,"1,2","104,6",30-35,21 000,10,20-22,
 ,Игрушка-антистресс,"Материал: каучук вспененный
Размер: D = 6,3 см
Нанесение логотипа предусматривается","Материал: PU
Размер: диаметр 63 мм
Упаковка: индивидуальный пакетик"," Дизайн: 
- цвет из наличия 
- нанесение логотипа тампопечать 1+0",1000,"0,9","76,3",40-45,"1,0","85,8",30-35,5 800,7,17-19,
 ,носки,"Хлопковый носок не укороченный
Размеры: 36-39, 39-42, 42-45
Состав носка: 80% хлопок, 17% лайкра, 3% эластан
или
Хлопок 80% / лайкра 20%","Материал: хлопок 80%
Размер: женский (36-39), мужский (40-44)
Упаковка: OPP пакет
Примечание от фабрики: 
*лого возможно нанести тремя способам: вязка, вышивка и уф-печать
*чз нужно делать, включен в стоимость "," Дизайн: цвет ниток близко к пантону, вышивка лого с одной внешней стороны на каждом носке",1000,"2,7","229,1",45-50,"2,9","249,0",35-40,6 500,7,17-19,
 ,Шоппер (как упаковка),,"Материал: хлопок 
Размер: 38*45 см
Упаковка: OPP пакет
Примечание от фабрики: итоговая цена после макета, можно сделать другой размер или материал












"," Дизайн: цвет ткани близко к пантону, шелкография 1+0 (одноцветное лого с одной стороны)",1000,"3,9","332,8",45-50,"4,6","386,8",35-40,10 000,10,20-22,
 ,Мешок для обуви (как упаковка - среднее качество),,"Материал: нейлон 210D
Размер: 40*35 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета"," Дизайн: запечатка в соответствии с макетом с двух сторон, шурки на выбор из раскладки фабрики",1000,"3,8","321,6",45-50,"4,5","383,4",35-40,13 000,10,20-22,
 ,Мешок для обуви (как упаковка - высокое качество),,"Материал: нейлон 420D (более плотный материал
Размер: 40*35 см
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета
*можно еще сделать из хлопка"," Дизайн: запечатка в соответствии с макетом с двух сторон, шурки на выбор из раскладки фабрики",1000,"4,7","401,5",45-50,"5,6","475,7",35-40,13 000,10,20-22,
 ,Пакет,,"Материал: картон, плотность 275 г/м3
Размер: 20*30*10 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: галографический/обычный картон, запечатка цветом в пантон + нанесение ондцветного лого (уф-печать)",1000,"3,1","325,7",40-45,"3,5","369,3",30-35,45 500,10,20-22,
 ,"Набор или один значок металлический, акриловый и другие варианты значков",,"Материал: цинковый сплав,  эмаль 
Размер: 5*1 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: открытие форм фатора "," Дизайн: индивидуальный размер, идивидуальный дизайн ",1000,"1,2","99,5",37-42,"1,2","101,8",27-32,10 500,7,17-19,
,,,,,,,,,,,,,,,
 , Брелок ПВХ 3Д или 2Д: голубь или логотип СДЭК,,"Материал: пвх 
Размер: 50*40 см
Примечание от фабрики: 
открытие форм фатора ", Дизайн: индивидуальный дизайн ,1000,"2,3","192,8",40-45,"2,5","210,2",40-45,23 000,10,20-22,
,,,,,,,,,,,,,,,
 ,"Ремувка ПВХ, ремувка ПВХ с джибитсами",,"Материал: пвх, металл
Размер: 15*2 см
Примечание от фабрики: 
открвтие форм фатора ", Дизайн: индивидуальный дизайн ,1000,"2,3","192,6",37-42,"2,3","199,0",27-32,3 500,10,20-22,
,,,,,,,,,,,,,,,
 ,Ремувка репс с шелкографией,,"Материал: металл, полиэестер
Размер: 15 см
Примечание от фабрики: ", Дизайн: нанесение лого -шелкография ,1000,"1,4","120,5",40-45,"1,5","126,4",30-35,7 000,7,17-19,
,,,,,,,,,,,,,,,
