,"Менеджер: Киселева Екатерина
Email: katya.e@megamind.ru
Телефон: +7 (921) 970-63-24
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Картхолдер на магните,"Материал: натуральная кожа
Размер: 65 х 95 мм
Упаковка: пакетик OPP
Примечание от фабрики: особенности: встроенная магнитная пластина, отделение для банковских карт, MagSafe
Минимальная диагональ 5.42"""", максимальная диагональ 6.7""""",Дизайн: нанесение: блинтовое тиснение логотипа по макету; цвет: красный пантон 185С; ,1 000 ,"8,1","829,0",65-70,"8,2","848,0",55-60,10 500,15,25-27,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,Кружка,"Материал: керамика
Размер: 360 мл, 9.6х7.3х7.6 см
Упаковка: индивидуальная коробка
Примечание от фабрики: глянцевый эффект"," Дизайн: выкрас в пантон 185С, печать лого на дне",3 000 ,"5,7","588,1",60-65,"7,2","740,5",50-55,15 160,12,22-24,
 ,Термобутылка,"Материал: нержавеющая сталь
Размер: 500 мл, 22х7.5 см
Упаковка: индивидуальный коробка"," Дизайн: гравировка логотипа, 1х1 см",500 ,"10,8","1107,5",35-40,"12,4","1273,9",25-30,15 200,7,17-19,
,,,,1 000 ,"10,7","1105,8",37-42,"12,3","1272,2",27-32,,,,
,Ручка Platero,"Материал: металл
Размер: 140 х 10 мм
Упаковка: прозрачный пакет
Примечание от фабрики: аналог", Дизайн: нанесение лого лазерной гравировкой ,от 51 до 100 ,"2,9","300,4",37-42,"3,0","313,1",27-32,8 500,7,17-19,
,,,,от 101 до 300 ,"2,8","283,4",,"2,9","296,1",,,,,
,,,,от 301 до 500 ,"2,1","212,6",,"2,2","225,3",,,,,
,,,,от 501 до 1000 ,"1,9","195,5",,"2,0","208,2",,,,,
,Ручка Slim,"Материал: металл
Размер: 130 х 76 мм
Упаковка: прозрачный пакет
"," Дизайн: 
1. нанесение лого УФ печатью
2. выкрас в пантон 185 С",от 51 до 100 ,"2,9","300,4",37-42,"3,0","313,1",27-32,7 500,7,17-19,
,,,,от 101 до 300 ,"2,8","283,4",,"2,9","296,1",,,,,
,,,,от 301 до 500 ,"1,8","182,9",,"1,9","195,6",,,,,
,,,,от 501 до 1000 ,"1,5","150,9",,"1,6","163,6",,,,,
,Ручка Slim  Soft-Touch,"Материал: металл
Размер: 130 х 76 мм
Упаковка: прозрачный пакет
"," Дизайн: 
1. нанесение лого УФ печатью
2. выкрас в пантон 185 С",от 51 до 100 ,"3,5","359,8",37-42,"3,6","372,5",27-32,7 500,7,17-19,
,,,,от 101 до 300 ,"3,3","342,8",,"3,5","355,5",,,,,
,,,,от 301 до 500 ,"2,4","242,3",,"2,5","255,1",,,,,
,,,,от 501 до 1000 ,"2,1","210,4",,"2,2","223,1",,,,,
,Карандаш Couvet,"Материал: дерево, пленка
Размер: стандартный
Упаковка: сток
",Дизайн: лазерная гравировка,500 ,"0,3","26,7",40-45,"0,3","30,1",30-35,"5 300
только образец качества",10,22-24,
,,,,1 000 ,"0,2","24,0",,"0,3","27,5",,,,,
,,,,3 000 ,"0,2","20,7",,"0,2","24,2",,,,,
,,,Дизайн: УФ нанесение логотипа,70 000 ,"0,2","20,1",60-65,"0,2","23,6",50-55,,,,
 ,Карандаш градиент,"Материал: дерево, пленка
Размер: стандартный
Упаковка: сток","Дизайн: градиент по макету пантон
нанесение лого",5 000 ,"0,4","35,8",45-50,"0,4","38,3",35-40,71 500 ,13,23-25,
