,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,Условия по инд форме,"Тираж, шт",Доставка ЖД,,,Долгая доставка ЖД,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Конструктор,"Материал:  пластик/пластик
Размер: 32*22*4 cm
Упаковка: инд упаковка
Примечание от фабрики: Конструктор GOQI V8 из 698 деталей ABS-пластика – точная копия двигателя V8. Прозрачный корпус позволяет наблюдать за работой механизма: поршней, шатунов, шестерней и вентилятора. 
В комплекте электродвигатель для запуска модели, инструкция и красивая упаковка. (на фото)
Развивает инженерные навыки у детей и взрослых.", Дизайн: сток,"открытие - 892 472,69, срок производства 1 месяц, затем производство товаров около 40 дней",1700,"22,1","1940,4",50-55,"21,1","1859,2",80-85,4 886,1,11-13,
,,,,,2400,"22,1","1940,1",55-60,"21,1","1858,9",80-85,,,,
,,,"Дизайн: кастомизация, выкрас деталей в пантон, свой логотип на коробке и логотип на деталях при помощи наклейки ",,1700,"23,1","2031,2",65-70,"23,1","2031,0",100-110,14 044,7,17-19,
,,,,,2400,"23,1","2031,0",65-70,"22,2","1949,8",100-110,,,,
 ,Головоломка,"Материал: фанера
Размер: 32,5*21,4*22,8 cм
Упаковка: инд упаковка
Примечание от фабрики: Это набор для сборки своими руками. 
К конструктору прилагается подробная инструкция с иллюстрациями.
Уровень сложности: 4 из 6 Время сборки: около 5,5 ч Возраст: 14+ 
Количество деталей около 500 штук", Дизайн: сток,нет возможности кастомизации и открытия инд формы,1700,"95,9","8437,9",50-55,"94,0","8271,6",80-85,12 690,1,11-13,
,,,,,2400,"95,9","8437,6",55-60,"94,0","8271,3",80-85,,,,
 ,Робот,"Материал: алюминиевый сплав
Размер: 50,5*9
Упаковка: инд упаковка
Примечание от фабрики: Роботизированная рука с 3D-поворотом. 
Возраст 14+. 
Шесть сервомоторов обеспечивают движение манипулятора вперед-назад, вверх-вниз, влево-вправо, а также захват предметов. 
Рабочее напряжение: 4,8-7,2 В. Ток холостого хода: 100 мА.", Дизайн: сток,нет возможности кастомизации и открытия инд формы,1700,"38,1","3350,0",50-55,"36,7","3231,2",80-85,6 978,1,11-13,
,,,,,2400,"38,1","3349,7",55-60,"36,7","3230,9",80-85,,,,
 ,Робот,"Материал: пластик/пластик
Размер: 40,1*26,4*29,8
Упаковка: инд упаковка
Примечание от фабрики: Тип батареи- Литиевая батарея. 
Платформа крутится на 360 градусов. 
В комплект данного набора входит: пульт дистанционного управления (1шт), двигатель размера М (4 шт), кабель для передачи данных ( 1 шт), литиевый аккумуляторный блок ( 1 шт), удлинитель (1 шт)", Дизайн: сток,нет возможности кастомизации и открытия инд формы,1700,"47,2","4149,6",50-55,"45,1","3967,0",80-90,8 978,1,11-13,
,,,,,2400,"47,2","4149,3",55-60,"45,1","3966,7",80-90,,,,
 ,Конструктор ,"Материал: Пластик/пластик
Размер: 19,3*12,8*12,9
Упаковка: инд упаковка
Примечание от фабрики:  В наборе: аккумулятор (1 шт), мотор размера М (1 штука). 
Работает при помощи нажатия на светло-серый рычаг, также при помощи данного рычага можно отрегулировать скорость, регулируемое натяжение цепи, 
В наборе более 2718 деталей", Дизайн: сток,"открытие - 208 674,30, срок производства инд формы без доставки -  60  дней,  затем производство тиражей - 50-60 дней",1700,"23,8","2092,0",50-55,"22,8","2001,9",80-90,5 180,1,11-13,
,,,,,2400,"23,8","2091,8",50-55,"22,8","2001,7",80-90,,,,
,,,"Дизайн: кастомизация, выкрас деталей в пантон, свой логотип на коробке и логотип на деталях при помощи наклейки либо печати",,1700,"30,9","2716,7",75-80,"29,9","2626,6",120-130,15 000,10,20-22,
,,,,,2400,"30,9","2716,4",75-80,"29,8","2626,3",120-130,,,,
 ,Головоломка,"Материал: дерево
Размер: 21*16*18
Упаковка: инд упаковка
Примечание от фабрики: 254 детали, время сборки 4-5 часов, 
В комплекте: стальные шары, винты, воск, ручка, стальной вал, наждачная бумага, 7 штук предварительно нарезанных деревянных листов", Дизайн: сток,нет возможности открытия инд формы,1700,"15,4","1351,9",30-35,"14,5","1272,6",80-90,3 722,1,11-13,
,,,,,2400,"15,4","1351,6",30-35,"14,5","1272,3",80-90,,,,
,,,"Дизайн: кастомизация, свой логотип на коробке и логотип на деталях при помощи наклейки либо печати",,1700,"17,1","1506,4",55-60,"16,2","1427,1",80-90,14 689,5,15-17,
,,,,,2400,"17,1","1506,1",55-60,"16,2","1426,8",80-90,,,,
 ,Робот ,"Материал: cплав
Размер: 
Упаковка: инд упаковка
Примечание от фабрики: Пакет 2 (полный комплект кронштейнов, включая руль):
Механический коготь 1
Многофункциональный кронштейн 5 шт.
Длинный U-образный кронштейн, 3 шт.
Кронштейн Г-образный 1 шт.
Жесткая U-образная балка 2
Подшипник 3 шт.
Металлический руль 6
Крепежный винт 1 комплект", Дизайн: сток,нет возможности открытия инд формы,1700,"24,2","2130,8",50-55,"22,5","1982,4",80-90,6 286,1,11-13,
,,,,,2400,"23,4","2061,8",50-55,"21,8","1918,2",80-90,,,,
,,,"Дизайн: кастомизация, свой логотип на коробке и логотип на деталях при помощи наклейки ",,1700,"28,2","2482,9",50-55,"26,5","2334,5",80-90,10 314,3,13-15,
,,,,,2400,"28,2","2482,6",50-55,"26,5","2334,3",80-90,,,,
