,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,"Ланъярд-шнурок
Фабрика 1","Материал: полиэстер, металл
Длина: ~125см в развернутом виде
Упаковка: OPP пакет
Примечание от фабрики: цены и сроки тиража указаны примерно, точный расчет возможен после производства образца"," Дизайн: цвет из раскладки фабрики, плетение по индивидуальному дизайну, гравировка на шильдике с двух сторон",500,"10,6","897,0",50-55,,,,"7800
без металлического шильдика

15200 с шильдиком",10,20-22,
,,,,1000,"9,2","779,0",50-55,,,,,,,
,,,,2000,"8,1","686,0",55-60,,,,,,,
 ,"Ланъярд-шнурок
Фабрика 2","Материал: полиэстер, металл
Длина: ~125см в развернутом виде
Упаковка: OPP пакет
Примечание от фабрики: цены и сроки тиража указаны примерно, точный расчет возможен после производства образца"," Дизайн: цвет из раскладки фабрики, плетение по индивидуальному дизайну, гравировка на шильдике с двух сторон",500,"11,1","939,0",55-60,,,,"32100 с шильдиком

12200 без шильдика",12,22-24,
,,,,1000,"10,4","881,0",55-60,,,,,,,
,,,,2000,"9,9","840,0",60-65,,,,,,,
,,,,,,,,,,,,,,
 ,"Ланъярд-шнурок
Фабрика 1","Материал: полиэстер, металл
Длина: ~120см в развернутом виде
Диаметр: 7мм
Упаковка: OPP пакет
Примечание от фабрики:  без ПВХ бусин и без вставки для телефона
Цены могут быть скорректированы после изготовления образца"," Дизайн: выкрас в пантон шнурка и пистончиков,  PU бирка 2,5*2,5см с тиснением, жаккардовая бирка ~2,5см, подбор фурнитуры",3500,"4,2","358,0",50-55,,,,12 100,9,22-24,
 ,"Ланъярд-шнурок
Фабрика 2","Материал: полиэстер, металл
Длина: ~120см в развернутом виде
Диаметр: 7мм
Упаковка: OPP пакет
Примечание от фабрики:  без ПВХ бусин и без вставки для телефона
Цены могут быть скорректированы после изготовления образца"," Дизайн: выкрас в пантон шнурка и пистончиков,  PU бирка 2,5*2,5см с тиснением, жаккардовая бирка ~2,5см, подбор фурнитуры",3500,"3,7","314,0",50-55,,,,17 000,12,22-24,
 ,"Ланъярд-шнурок
Фабрика 2","Материал: полиэстер, металл
Длина: ~120см в развернутом виде
Диаметр: 7мм
Упаковка: OPP пакет
Примечание от фабрики: с изменениями после изготовления первой итерации"," Дизайн: выкрас в пантон шнурка,  жаккардовая бирка ~2,5см в пантон, подбор фурнитуры цвета темный никель, бусина с гравировкой",3500,"3,9","331,0",55-60,,,,34 000,17,22-24,
 ,"Ланъярд-шнурок
Фабрика 3","Материал: полиэстер, металл
Длина: ~120см в развернутом виде
Диаметр: 7мм
Упаковка: OPP пакет
Примечание от фабрики:  без ПВХ бусин и без вставки для телефона
Цены могут быть скорректированы после изготовления образца"," Дизайн: выкрас в пантон шнурка и пистончиков,  PU бирка 2,5*2,5см с тиснением, жаккардовая бирка ~2,5см, подбор фурнитуры",3500,"6,1","517,0",50-55,,,,34 200,14,22-24,
