,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Ночник,"Материал: силикон + АБС
Размер: 15 × 7 × 12сm
Упаковка: коробка
Примечание от фабрики: ", Дизайн: сток,10000,"2,81","238,44",50-55,"3,92","333,04",40-45,1 857,2,12-14,
,,,,20000,"2,72","231,34",60-65,"3,80","323,16",45-50,,,,
,,,,30000,"2,64","224,31",70-75,"3,69","313,34",50-55,,,,
 ,Ночник,"Материал: ABS
Размер: 6,4 × 6,4 сm
Упаковка: коробка
Примечание от фабрики: [Вес продукта]: 25 г (включая отдельную упаковку)
[Источник света]: Светодиодный источник света
[Мощность освещения]: 0,5 Вт
[Входное напряжение]: 110 В-220 В", Дизайн: сток,10000,"1,10","93,83",45-50,"1,56","132,93",35-40,1 629,2,12-14,
,,,,20000,"1,07","90,98",50-55,"1,52","128,94",40-45,,,,
,,,,30000,"1,04","88,20",60-65,"1,47","125,00",45-50,,,,
 ,Лампа,"Материал: ABS
Размер: 9,8 × 5,1 сm
Упаковка: коробка
Примечание от фабрики: [Вес продукта]: 56 г", Дизайн: сток,10000,"2,83","240,22",40-45,"3,06","259,87",30-35,1 778,2,12-14,
,,,,20000,"2,77","235,03",45-50,"2,99","254,10",35-40,,,,
,,,,30000,"2,70","229,90",50-55,"2,92","248,40",40-45,,,,
 ,ночник,"Материал: силикон + АБС
Размер: 9,7 × 8,1 сm
Упаковка: пакетик
Примечание от фабрики: вес примерно 65 грамм", Дизайн: сток,10000,"3,18","270,52",40-45,"3,75","318,42",30-35,1 798,2,12-14,
,,,,20000,"3,11","264,44",45-50,"3,66","310,93",35-40,,,,
,,,,30000,"3,04","258,42",50-55,"3,57","303,50",40-45,,,,
 ,ночник,"Материал: силикон + АБС
Размер: 9 ×8 сm
Упаковка: пакетик
Примечание от фабрики: вес примерно 150 грамм", Дизайн: сток,10000,"3,58","304,44",40-45,"4,27","363,13",30-35,2 027,2,12-14,
,,,,20000,"3,50","297,37",45-50,"4,17","354,32",35-40,,,,
,,,,30000,"3,42","290,35",50-55,"4,07","345,58",40-45,,,,
 ,ночник,"Материал: ABS
Размер: 6 ×8 сm
Упаковка: пакетик
Примечание от фабрики: вес примерно 120 грамм", Дизайн: сток,10000,"3,29","279,58",40-45,"3,98","338,26",30-35,1 986,2,12-14,
,,,,20000,"3,24","273,24",45-50,"3,91","331,58",35-40,,,,
,,,,30000,"3,17","268,65",50-55,"3,85","326,95",40-45,,,,
 ,ночник,"Материал: ABS
Размер: 6 ×8 сm
Упаковка: пакетик
Примечание от фабрики: вес примерно 120 грамм", Дизайн: сток,10000,"3,44","292,01",40-45,"4,13","350,69",30-35,1 996,2,12-14,
,,,,20000,"3,36","285,30",45-50,"4,03","342,26",35-40,,,,
,,,,30000,"3,28","278,65",50-55,"3,93","333,88",40-45,,,,
 ,ночник - конструктор,"Материал: пластик
Размер: 9,2 ×9,3 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 800 грамм, 387 деталей", Дизайн: сток,10000,"3,45","292,83",40-45,"3,97","337,52",30-35,1 927,2,12-14,
,,,,20000,"3,37","286,09",45-50,"3,88","329,47",35-40,,,,
,,,,30000,"3,29","279,42",50-55,"3,78","321,48",40-45,,,,
 ,ночник - конструктор,"Материал: пластик
Размер: 9,2 ×9,3 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 900 грамм, 433 деталей", Дизайн: сток,10000,"3,53","300,29",40-45,"4,06","344,98",30-35,1 931,2,12-14,
,,,,20000,"3,45","293,33",45-50,"3,96","336,71",35-40,,,,
,,,,30000,"3,37","286,44",50-55,"3,86","328,50",40-45,,,,
 ,ночник - конструктор,"Материал: пластик
Размер: 9,2 ×9,3 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 1,5 кг, 669 деталей", Дизайн: сток,10000,"5,50","467,63",40-45,"6,15","522,42",30-35,2 214,2,12-14,
,,,,20000,"5,36","455,75",45-50,"5,99","508,93",35-40,,,,
,,,,30000,"5,22","443,93",50-55,"5,83","495,50",40-45,,,,
 ,ночник ,"Материал: Резиновое дерево (каучуковое дерево / гевея)
Хрусталь
Размер: 8 ×7,5 сm
Упаковка: коробка
Примечание от фабрики: вес примерно 500 грамм", Дизайн: сток,10000,"4,77","405,33",40-45,"5,66","481,19",30-35,2 308,2,12-14,
,,,,20000,"4,65","395,29",45-50,"5,52","468,92",35-40,,,,
,,,,30000,"4,53","385,30",50-55,"5,37","456,70",40-45,,,,
 ,ночник ,"Материал: силикон + АБС
Размер: 16,3x12x10. 8 см
Упаковка: коробка
Примечание от фабрики: Мощность: 1 Вт
Емкость батареи: 1200mA
Индикация во время зарядки: USB
Цвет: Белые Розовые уши/белые синие уши", Дизайн: сток,10000,"5,06","429,98",50-55,"6,46","548,95",40-45,2 502,2,12-14,
,,,,20000,"4,93","419,21",55-60,"6,29","534,68",45-50,,,,
,,,,30000,"4,81","408,50",60-65,"6,12","520,48",50-55,,,,
 ,ночник ,"Материал: ПВХ
Размер: 
15*15*15 см
Упаковка: коробка
Примечание от фабрики: Срок службы (часы) - 20000 часов", Дизайн: сток,10000,"5,79","491,85",50-55,"7,28","618,60",40-45,2 545,2,12-14,
,,,,20000,"5,67","482,27",55-60,"7,13","609,27",45-50,,,,
,,,,30000,"5,55","486,74",60-65,"6,93","600,14",50-55,,,,
 ,ночник ,"Материал: ПЭТ, пластик
Размер: 20 см
Упаковка: индивидуальный пакет (цветная коробка +40 руб)
Примечание от фабрики: в наборе провод светодиодом на конце, в комплекте нет деревянной подставки", Дизайн: сток,10000,"5,12","434,50",55-60,"5,76","489,10",45-50,2 260,3,13-15,
,,,,20000,"4,88","418,27",60-65,"5,64","477,27",50-55,,,,
,,,,30000,"4,77","403,74",65-70,"5,50","466,00",55-60,,,,
 ,ночник ,"Материал: пластик
Размер: 13,9 х 10,8см
Примечание от фабрики: работает от батареек", Дизайн: сток,10000,"5,32","451,70",60-65,"6,76","574,00",50-55,4 000,2,12-14,
,,,,20000,"5,20","441,,7",65-70,"6,67","563,27",55-60,,,,
,,,,30000,"5,09","432,74",70-75,"6,52","554,56",60-65,,,,
