,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Мешок для обуви ,"Материал: оксфорд 
Размер: 34*43 см 
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: сублимация ,300,"3,5","293,1",35-40,"3,9","332,9",25-30,5 000,5,15-17,
,,"Материал: оксфорд 
Размер: 34*41 см 
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: цифровая печать ,300,"4,5","380,7",,"5,1","433,6",,8 000,,,
 ,Сумка через плечо ,"Материал: оксфорд 
Размер: 14*5*19 см 
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: прямая печать DTC на ручке и на сумке + бирка  ,200,"10,1","856,3",55-60,"10,5","895,4",45-50,9 000,5,15-17,
,,,,1000,"7,1","603,2",,"7,6","644,9",,,,,
,,"Материал: оксфорд 
Размер: 15*6*20 см 
Упаковка: инд пакет 
Примечание от фабрики: ", Дизайн: прямая печать DTC на ручке и на сумке + бирка  ,200,"10,2","864,8",,"10,5","895,0",,,,,
,,,,1000,"7,9","672,6",,"8,3","704,7",,,,,
 ,Барсетка ,"Материал: нейлон 
Размер: 31*2*17 см 
Упаковка: инд пакет 
Примечание от фабрики: 
сеточку на сумке можно выбрать "," Дизайн: стропа с логотпом, шелкография ",200,"27,8","2359,9",55-60,"28,7","2438,4",45-50,15 000,7,17-19,
,,,,500,"13,1","1112,1",,"14,0","1193,3",,,,,
