,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Свитшот ,"Материал: футер трехнитка с начёсом, 70% хлопок + 30% полиэстер, 350 гр/м²
Манжеты на рукавах, горловине и по низу: кашкорсе трехнитка в цвет основного материала, 95% хлопок + 5% эластан, 400 гр/м²
Киперная лента в цвет основного материала в горловине спинки 
Крой: оверсайз
Силиконовый ярлык с размером, составом и информацией по уходу в горловине спинки по центру. Ярлык в сложение, цвет печати Pantone Cool Grey 8C.                                              
Персонализация на груди: DTF 1+0 (Pantone 185 C) + (буквы) 1+0 (Whitе). 
Персонализация на спине: DTF 3+0 (Красный: Pantone 185 C, Фиолетовый: Pantone: 272 C, Белый) 
Размер нанесения на груди: 3,5 см х 3,5 см.                           
Размер нанесения на спине: ориентируемся на визуализацию на макете                                                            
Шеврон: жаккард, цвет ниток: красный ( Pantone 185C), размер в пришитом виде на изделии 2 см х 2 см, расположение по макету
ОТСТРОЧКИ:
По головине переда.
По манжетам, проймам, плечам и поясу отстрочки отсутствуют",15800,"17,8","1765,4",70-80,"19,4","1902,7",60-70,"Свитшот и футболка: 31850 руб
Свитшот: 20050 руб
Футболка: 13200 руб","17-20 дней, фото-видео 7-10 дней",
,,,5000,,,55-60,,,45-50,,,
,,,3500,,,45-50,,,35-40,,,
,,,7000,,,45-50,,,35-40,,,
,Футболка ,"Материал: футер двухнитка, 92% хлопок + 8% полиэстер 240г/м2. Горловина выполнена из кашкорсе в тон основного материала. Киперная лента в цвет основного материала в горловине спинки. 
 Крой: оверсайз 
Силиконовый ярлык с размером, составом и информацией по уходу в горловину спинки по центру. Ярлык в сложение, цвет печати Pantone Cool Grey 8C.
Персонализация на груди:DTF 1+0 (Pantone 185 C) + (буквы) 1+0 (Whitе). 
Персонализация на спине: DTF 3+0 (Красный: Pantone 185 C, Фиолетовый: Pantone: 272 C, Белый)                                                                                                       
Размер нанесения на груди: 3,5 см х 3,5 см.                 
Размер нанесения на спине: ориентируемся на визуализацию на макете                                                            
Шеврон: жаккард, цвет ниток: Pantone 185C, размер в пришитом виде на изделии 2 см х 2 см, расположение по макету
ОТСТРОЧКИ:
По горловине переда, манжетам, проймам, плечам и поясу отстрочки отсутствуют",15800,"11,3","1029,5",50-60,"12,2","1633,8",40-50 ,,,
,,,5000,,,45-50 ,,,35-40,,,
,,,3500,,,35-40 ,,,25-30,,,
,,,7000,,,35-40 ,,,25-30,,,
,Свитшот ,"Материал: футер трехнитка с начёсом, 70% хлопок + 30% полиэстер, 350 гр/м²
Манжеты на рукавах, горловине и по низу: кашкорсе трехнитка в цвет основного материала, 95% хлопок + 5% эластан, 400 гр/м²
Киперная лента в цвет основного материала в горловине спинки 
Крой: оверсайз
Силиконовый ярлык с размером, составом и информацией по уходу в горловине спинки по центру. Ярлык в сложение, цвет печати Pantone Cool Grey 8C.                                              
Персонализация на груди: DTF 1+0 (Pantone 185 C) + (буквы) 1+0 (Whitе). 
Персонализация на спине: DTF 3+0 (Красный: Pantone 185 C, Фиолетовый: Pantone: 272 C, Белый) 
Размер нанесения на груди: 3,5 см х 3,5 см.                           
Размер нанесения на спине: ориентируемся на визуализацию на макете                                                            
Шеврон: жаккард, цвет ниток: красный ( Pantone 185C), размер в пришитом виде на изделии 2 см х 2 см, расположение по макету
ОТСТРОЧКИ:
По головине переда.
По манжетам, проймам, плечам и поясу отстрочки отсутствуют",15800,"25,3","2305,2",75-85,"27,3","2496,8",65-75,"Цвет из наличия: 16320 руб 
Выкрас в нужный цвет: 35890 руб",,
,,,5000,,,60-65,,,50-55,,,
,,,3500,,,32-37,,,22-27,,,
,,,7000,,,35-40,,,25-30,,,
,Футболка ,"Материал: футер двухнитка, 92% хлопок + 8% полиэстер 240г/м2. Горловина выполнена из кашкорсе в тон основного материала. Киперная лента в цвет основного материала в горловине спинки. 
 Крой: оверсайз 
Силиконовый ярлык с размером, составом и информацией по уходу в горловину спинки по центру. Ярлык в сложение, цвет печати Pantone Cool Grey 8C.
Персонализация на груди:DTF 1+0 (Pantone 185 C) + (буквы) 1+0 (Whitе). 
Персонализация на спине: DTF 3+0 (Красный: Pantone 185 C, Фиолетовый: Pantone: 272 C, Белый)                                                                                                       
Размер нанесения на груди: 3,5 см х 3,5 см.                 
Размер нанесения на спине: ориентируемся на визуализацию на макете                                                            
Шеврон: жаккард, цвет ниток: Pantone 185C, размер в пришитом виде на изделии 2 см х 2 см, расположение по макету
ОТСТРОЧКИ:
По горловине переда, манжетам, проймам, плечам и поясу отстрочки отсутствуют",15800,"12,4","1136,3",75-85,"13,5","1231,5",65-75,"Цвет из наличия: 15390 руб 
Выкрас в нужный цвет: 34960",,
,,,5000,,,60-65,,,50-55,,,
,,,3500,,,32-37,,,22-27,,,
,,,7000,,,35-40,,,25-30,,,
