,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Сквиш,"Материал: полиуретан
Размер: 10*10*10 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: ","Дизайн: индивидуальная форма, полная запечатка",5000,"2,9","298,7",65-70,"3,0","306,4",55-60,70 300,20,30-32,
 ,Ежедневник ,"Материал: PU, бумага, плорон 
Размер: 14,8x21 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 2 листа 120 г белой бумаги + 96 листов 70 г белой бумаги. Эластичная лентой ","Дизайн: цвет из каталога,нанесение лого 
Вид нанесения лого- шелкография/ термопечать/ цифровая печать ",5000,"9,8","1006,3",85-90,"12,8","1322,2",75-80,30 700,21,31-33,
 ,Пауэр,"Материал: ABS+PС
Размер: 10,32*6,87*2,1 см
Упаковка: индивидуальная коробка
Примечание от фабрики: 
Magsafe function, быстрая зарядка                                                                        
Емкость батареи：10000mAh
","Дизайн: нанесение лого/рисунка по макету, тампопечать",5000,"17,6","1814,4",45-50,"19,0","1955,7",35-40,8 500,5,15-17,
 ,Бутылка ,"Материал: пластик, пвх 
Размер: 500 мл 
Упаковка: индивидуальная коробка 
Примечание от фабрики: открытие форм фактора для пвх карабина на крышке ","Дизайн: круговая печать в пантон, нанесение лого на пвх карабин ",5000,"9,2","950,0",65-70,"10,3","1062,3",55-60,67 500,12,22-24,
 ,Ручка,"Материал: пластик 
Размер: 14,5*1 см
Упаковка: OPP пакет
Примечание от фабрики: толщина чернил 0,7 мм (есть также 1 мм), цвет - синий/черный на выбор
","Дизайн: черный цвет ручки, печать лого белым/синим цветом (синий близко к пантону), тампопечать",5000,"0,3","26,3",50-55,"0,3","29,8",40-45,15 000,5,15-17,
 ,Держатель ,"Материал: пластик, полиэстер 
Размер: картхолдер - 7*11 см, внутри (карта) - 5,4*8,5 см, ланьярд - 90*1,5 см 
Упаковка: OPP пакет
Примечание от фабрики: 
*такого ретрактора, как на фото нет, посчитали аналог (фабрика, у которой есть такой, как на рефе, не делает кастом)
*можно нанести лого/дизайн также на картхолдер или ланьярд, но нужен четкий макет для расчета","Дизайн: ланьярд, ректрактор и картхолдер в пантон; уф-печать лого на ретракторе",5000,"1,7","170,0",40-45,"1,8","183,9",30-35,26 500,10,20-22,
 ,Стикеры,"Материал: смола, картон, клей
Размер: весь набор - А5, 1 стикер - 1,5*5-7 см
Упаковка: OPP пакет
Примечание от фабрики: нужен точный макет по размерам и цветам для стикеров ","Дизайн: по макету - 4 стикера, печать надписи и лого ",5000,"0,7","67,8",45-50,"0,8","78,5",35-40,7 000,5,15-17,
 ,Пакет,"Материал: полиэстер, алюминиевая фольга
Размер: 22*15 см
Упаковка: OPP пакет
Примечание от фабрики: 
*стоимость образца высокая, так как необходимо открывать форму для производства цветной наклейки",Дизайн: серебряный пакет + цветная наклейка с лого по макету (7*10 см),5000,"0,7","72,0",40-45,"0,9","88,8",30-35,102 500,15,25-27,
 ,Попсокет-держатель для телефона,"Материал: пластик
Размер: 7,5*2 см
Упаковка: индивидуальный пластиковый пакет
Примечание от фабрики: ","Дизайн: выкрас в цвет близкий к пантону, УФ печать",5000,"1,9","197,6",40-45,"2,0","205,6",30-35,5 000,7,17-19,
,,,"Дизайн: цвет из наличия, УФ печать",5000,"1,8","183,6",,"1,9","191,6",,3 000,5,15-17,
