,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Носки,"Материал: Хлопок 70%, полиэфирное волокно 25%, спандекс 5%
Размер: 36-41 универсальный
Упаковка: OPP пакет
Примечание от фабрики: необходимо оформление СС и ЧЗ (ориентировочная стоимость 95к руб)", Дизайн: жаккард паттерна,500,"2,3","195,0",45-50,,,,9 600,9,19-21,
,,,,1000,"2,1","175,0",45-50,,,,,,,
 ,Ланъярд,"Материал: полиэстер, металл
Размер: 90*1,5см
Упаковка: OPP пакет
Примечание от фабрики: 1 карабин

дополнительный карабин +10руб. к цене за шт", Дизайн: термотрансфер лого / паттерна,500,"1,4","118,0",40-45,"1,6","134,0",30-35,4 500,7,17-19,
,,,,1000,"1,1","92,0",45-50,"1,3","108,0",35-40,,,,
 ,Ремувка,"Материал: полиэстер, силикон
Размер: ~17*3см (без учета фурнитуры)
Упаковка: OPP пакет
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов. В комплект НЕ входит металлическая подвеска"," Дизайн: логотип на силиконовой части, выкрас стропы в пантон",500,"2,0","168,0",40-45,"2,2","184,0",30-35,10 500,5,15-17,
,,,,1000,"1,9","157,0",45-50,"2,1","173,0",35-40,,,,
 ,Блокнот,"Материал: PU, бумага
Размер: А5
Упаковка: OPP пакет
Примечание от фабрики: внутри фабричные линованные листы, 80 листов, резинка и ляссе", Дизайн: тиснение лого (обычное или с фольгой),500,"3,4","291,0",40-45,,,,9 800,5,15-17,
,,,,1000,"3,4","285,0",40-45,,,,,,,
 ,Стикерпак,"Материал: мелованная бумага
Размер: А5
Упаковка: без", Дизайн: индивидуальный,500,"0,8","68,0",35-40,"0,9","74,0",25-30,4 800,4,14-16,
,,,,1000,"0,5","40,0",35-40,"0,5","46,0",25-30,,,,
 ,Футболка,"Материал: Хлопок 250 г
Размер: Кастом
Упаковка: ОРР пакет
Примечание от фабрики: Размерная сетка также индивидуальна в зависимости от пожеланий клиента"," Дизайн: Кастомный крой, выбор цвета футболки и цвета вышивки из раскладки фабрики, кастомная жаккардовая бирка",500,"12,78","1 103,01 ₽",50-55,,,,14 800,12,22-24,
,,,,1000,"11,94","1 031,20 ₽",50-55,,,,,,,
 ,Коффер,"Материал: Нержавеющая сталь 304
Размер: 350мл
Упаковка: белая картонная коробка
Примечание от фабрики: ", Дизайн: Полноцветная запечатка по макету клиента,500,"6,02","531,61 ₽",45-50,,,,10 400,6,16-18,
,,,,1000,"5,65","498,74 ₽",45-50,,,,,,,
 ,Шоппер,"Материал: хлопок 8OZ
Размер: 38*43см (настраиваемое)
Упаковка: ОРР пакет
Примечание от фабрики: "," Дизайн: Выбор цвета ткани из раскладки, шеклография логотипа клиента в один цвет с одной стороны, удлиненная стропа с одной стороны с нанесениями шелкографией один цвет",500,"7,06","613,93 ₽",45-50,,,,9 400,7,17-19,
,,,,1000,"6,69","581,90 ₽",45-50,,,,,,,
 ,Шоппер,"Материал: хлопок 16OZ
Размер: 30*40см (настраиваемое)
Упаковка: ОРР пакет
Примечание от фабрики: можно добавить магнит для открыания/закрывания и карманы (не входит в стоимость)"," Дизайн: Выбор цвета ткани из раскладки, шеклография логотипа клиента в один цвет с одной стороны, удлиненная стропа с одной стороны с нанесениями шелкографией один цвет",500,"4,19","367,36 ₽",45-50,,,,9 400,7,17-19,
,,,,1000,"4,07","357,41 ₽",45-50,,,,,,,
 ,Кликер с подсветкой,"Материал: пластик
Размер: 1 клавиша ~2,8*2,8см
Упаковка: ОРР пакет
Примечание от фабрики: выбор цвета клавиши из наличия", Дизайн: лого 1 цвет,500,"1,89","161,00 ₽",35-40,,,,7 000,5,15-17,
,,,,1000,"1,62","138,00 ₽",35-40,,,,,,,
 ,Ручка,"Материал: пластик
Размер: ~14*1см
Упаковка: ОРР пакет
Примечание от фабрики: "," Дизайн: тампопечать лого 1 цвет
УФ печать +6руб. к цене за шт",500,"0,56","48,00 ₽",35-40,,,,5 100,5,15-17,
,,,,1000,"0,44","37,00 ₽",35-40,,,,,,,
 ,Ручка,"Материал: пластик
Размер: ~14*1см
Упаковка: ОРР пакет
Примечание от фабрики: "," Дизайн: тампопечать лого 1 цвет
УФ печать +6руб. к цене за шт",500,"0,45","38,00 ₽",35-40,,,,5 100,5,15-17,
,,,,1000,"0,36","31,00 ₽",35-40,,,,,,,
 ,Ручка,"Материал: бумага
Размер: 14,4*0,7см
Упаковка: ОРР пакет
Примечание от фабрики: MOQ 1000шт"," Дизайн: тампопечать лого 1 цвет
УФ печать +8руб. к цене за шт",1000,"0,35","32,00 ₽",40-45,,,,9 300,5,15-17,
 ,Бейдж-холдер,"Материал: Софт-тач силикон
Размер: Стандартный
Упаковка: ОРР пакет
Примечание от фабрики: Есть только с одним отверстием под карабин", Дизайн: печать логотипа один цвет,500,"1,79","143,35 ₽",45-50,"2,0","156,3",35-40,4 600,5,15-17,
,,,,1000,"1,73","138,46 ₽",45-50,"1,9","148,3",35-40,,,,
 ,3Д стикеры,"Материал: смола
Размер: лист А6
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: индивидуальный дизайн клиента,500,"1,32","113,94 ₽",45-50,"1,7","138,2",35-40,6 400,8,18-20,
,,,,1000,"1,32","105,86 ₽",45-50,"1,5","123,4",35-40,,,,
 ,Футболка,"Материал: Хлопок 280г
Размер: В соответсвии с размерной сеткой 
Упаковка: ОРР пакет
Примечание от фабрики: ", Дизайн: Вышивка логотипа,500,"9,44","808,38 ₽",45-50,"9,90","851,25 ₽",35-40,12 500,8,18-20,
,,,,1000,"9,30","795,80 ₽",45-50,"9,73","835,72 ₽",35-40,,,,
