,"Менеджер: Хартова Диана Игоревна
Email: diana@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Кроссовки,"Возможный кастом: на язычке, на силиконовом шильде - печать
Размер: 39-44
Большой ассортимент цветов
",3800-4200,"12,7","1176,135966 - болванка
+53 руб - каждый вид кастома",60-65 кд,21000,10-15 кд - фото+видео,
,,,форма на открытие печати,"145,212","13432,1",,,,
,Кроссовки светящиеся,"Возможный кастом: на язычке, на на боковых частях, на боках подошвы - печать
Размер: 39-44
Большой ассортимент цветов
Светятся в темноте
",3800-4200,"15,0","1382,988188 - болванка
+51руб - каждый вид кастома",60-65 кд,32000,10-15 кд - фото+видео,
,,,форма на открытие печати,,"13320,0",,,,
,Кроссовки светящиеся,"Возможный кастом: на язычке, на на боковых частях, на боках подошвы - печать
Размер: 39-44
Светятся в темноте
",3800-4200,"14,7","1357,13166 - болванка
+37 руб - каждый вид кастома",60-65 кд,32000,10-15 кд - фото+видео,
,,,форма на открытие печати,,"13320,0",,,,
,Кроссовки,"Возможный кастом: на язычке, на на боковых частях, на боках подошвы - печать
Размер: 37-42
",3800-4200,"10,7","985,476158 - болванка
+47 руб - каждый вид кастома",60-65 кд,21000,10-15 кд - фото+видео,
,,,форма на открытие печати,,"13320,0",,,,
,Шнурки,"Шнурок светоотражающий
Возможен кастом нанесения
120 см",3800-4200,"1,0","91,5",50-58 кд,11800,10-15 кд - фото+видео,
,Шнурки,"Шнурок светоотражающий
Возможен выбор цвета
100 см",3800-4200,"0,7","64,2",45-50 кд,3200,2-3 кд - фото+видео,
,Шнурки,"Возможен выкрас
100 см",3800-4200,"0,5","44,5",50-60 кд,3200,2-3 кд - фото+видео,
,Шнурки,"Возможен выкрас
100 см",3800-4200,"1,2","107,9",50-60 кд,5300,2-3 кд - фото+видео,
,Шнурки,"Возможен выкрас ил плетение под клиента
100 см",3800-4200,"6,2","583,9",60-65 кд,13200,10-15 кд - фото+видео,
,Коробка,"Печать лого, выкрас деталей
Материал: пластик",3800-4200,"6,99","653,33",60-65 кд,8100,10-15 кд - фото+видео,
,Коробка,"Печать лого
Материал: пластик",3800-4200,"10,21","954,21",60-65 кд,8700,10-15 кд - фото+видео,
,Коробка,"Материал: акрил
Выкрас+запечатка
Только под заказ",3800-4200,"15,54","1453,29",60-65 кд,15400,10-15 кд - фото+видео,
,Коробка,"Материал: картон
Выкрас+запечатка
Только под заказ",3800-4200,"14,1","1316,5",60-65 кд,14050,10-15 кд - фото+видео,
,Коробка,"Материал: переработка
Выкрас+оттиск на крышке
Только под заказ",3800-4200,"10,11","945,69",60-65 кд,18300,10-15 кд - фото+видео,
,резинка,"Материал: нейлон
Печать лого или полная запечатка
Можно настроить цвет и длину
Лого можно сделать глянцевым",4000,"1,41","131,66",60-65 кд,,,
,резинка,"Материал: силикон
Варианты лого на фото, + УФ-печать тоже возможна
Ширина: 12 мм, длина - настраиваемая",4000,"1,83","171,27",60-65 кд,,,
,резинка,"Материал: нейлон
Печать лого
Можно настроить цвет и длину
Лого можно сделать глянцевым",4000,"2,43","227,58",60-65 кд,,,
,,,,,,,,,
,кроссы,"Все модели стоят одинаково
35-45
Включает в себя пантон
Производство с 0 подошвы
Производство всех кастомных деталей с 0",3600,"20,2","1837,8","20 кд - открытие формы
15 кд - тираж
+10-12 кд - доставка","105 646,47 ₽","20 кд - открытие формы
10 кд - образец
+10-12 кд - доставка",
,коробка,"Тиснение букв
И запечатка
Делает партнер фабрики кроссовок",3600,"1,27",113,"20 кд - тираж
+10-12 кд - доставка",21 000 ₽,"12 кд - образец
+10-12 кд - доставка",
