,"Менеджер: 
Email: 
Телефон: ",,"Киселева Екатерина
katya.e@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бирка на чемодан 1,"Материал: алюминий
Размер: 80 х 45 мм
Упаковка: картонная коробка 
Примечание от фабрики: ", Дизайн: лого лазерная гравировка (от 100 шт),100,слишком маленький вес,,,"1,5","131,6",25-27,"3,550",3,13-15,
,,,,300,,,,"1,3","112,4",,,,,
,,,,500,,,,"1,2","106,9",,,,,
,,,,3375,"0,7","58,1",45-50,"0,7","62,4",35-40,,,,
 ,Ремешок-держатель для куртки,"Материал: нейлон
Размер: 16 х 2.5 см
Упаковка: коробка
Примечание от фабрики: ", Дизайн: лого лазерная гравировка (от 300 шт),100,слишком маленький вес,,,"6,9","605,9",25-27,"8,780",3,13-15,
,,,,300,,,,"6,6","577,6",,,,,
,,,,500,"3,7","318,1",40-45,"4,1","346,2",30-35,,,,
,,,,3375,"3,5","297,5",50-55,"3,8","324,1",40-45,,,,
 ,Ремешок-держатель для куртки 2,"Материал: нейлон
Размер: 16 х 2.5 см
Упаковка: ОПП пакет
Примечание от фабрики: ", Дизайн: сток,100,слишком маленький вес,,,"4,3","384,3","25-27
","8,500",7,17-19,
,,,,300,,,,"4,1","361,9",,,,,
,,,,500,,,,"3,9","349,7",,,,,
,,,Дизайн: лого лазерная гравировка (от 2000 шт),3375,"1,9","165,3",45-50,"2,2","187,1",35-40,,,,
 ,Бирка на чемодан 2,"Материал: алюминиевый сплав + кольцо из нержавеющей стали
Размер: 7,5 × 4,4 см
Упаковка: ОПП пакет
Примечание от фабрики: ", Дизайн: сток,100,слишком маленький вес,,,"1,5","133,5","25-27
","6,450",3,13-15,
,,,,300,,,,"1,3","117,7",,,,,
,,,,500,,,,"1,3","112,1",,,,,
,,,Дизайн: лого лазерная гравировка (от 1000 шт),3375,"0,7","59,4",45-50,"0,8","64,5",35-40,,,,
 ,Бирка на чемодан 3,"Материал: алюминий
Размер: 80 х 45 мм
Упаковка: картонная коробка 
Примечание от фабрики: ", Дизайн: лого лазерная гравировка (от 100 шт),100,слишком маленький вес,,,"1,5","135,6",25-27,"3,600",3,13-15,
,,,,300,,,,"1,3","117,4",,,,,
,,,,500,,,,"1,2","111,9",,,,,
,,,,3375,"0,7","64,1",45-50,"0,7","71,4",35-40,,,,
 ,Бирка на чемодан 4,"Материал: алюминиевый сплав
Размер: 7,5 х 4,5 см
Упаковка: пакет
Примечание от фабрики: ", Дизайн: сток,100,слишком маленький вес,,,"2,1","178,4","25-27
","3,200",3,13-15,
,,,,300,,,,"1,8","156,9",,,,,
,,, Дизайн: лого лазерная гравировка (от 500 шт),500,,,,"1,7","150,3",35-40,,,,
,,,,3375,1,"85,4",,"1,1","91,2",,,,,
