,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,,,,,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.) с НДС:,Цена за шт. (руб.) без НДС:,Срок тиража,Образец ,Срок образца,Доп. фото
,Ретрактор,"Материал: металл
Диаметр: 4см
Цвет: черный
Гравировка лого
Прозрачный бейдж в комплекте",1000,"4,7","430,5","358,8",40-45 календарных дней,3 400руб.,"5-7 календарных днейдней фото/видео, 12-14 календарных дней доставка в МСК",
,,,5000,"4,6","420,5","350,4",50-55 календарных дней,,,
,,,10000,"4,6","416,3","346,9",55-60 календарных дней,,,
,,,20000,"4,5","412,2","343,5",60-65 календарных дней,,,
,Ретрактор,"Пластиковый корпус
Размер: 4*15,5см
Цвет: черный
Нанесение лого 1 цвет
Металлический трос",1000,"5,5","502,3","418,6",40-45 календарных дней,10 300руб.,"5-7 календарных днейдней фото/видео, 12-14 календарных дней доставка в МСК",
,,,5000,"5,4","492,3","410,3",50-55 календарных дней,,,
,,,10000,"5,3","480,0","400,0",60-65 календарных дней,,,
,,,20000,"5,2","476,0","396,7",70-75 календарных дней,,,
,Кардхолдер,"Материал: силикон
Размер:10,8*7 см",1000,"3,6","334,0","278,3",55-60 календарных дней,14 800руб.,"5-7 календарных днейдней фото/видео, 12-14 календарных дней доставка в МСК",
,,,5000,"3,4","316,4","263,7",55-60 календарных дней,,,
,,,10000,"3,3","310,0","258,3",65-70 календарных дней,,,
,,,20000,"3,1","294,0","245,0",65-70 календарных дней,,,
,Ретрактор,"Материал: металл
Цвет: черный
Гравировка лого
Металлический трос",1000,"3,6","331,0","275,8",50-55 календарных дней,6 200руб.,"5-7 календарных днейдней фото/видео, 12-14 календарных дней доставка в МСК",
,,,5000,"3,6","328,0","273,3",50-55 календарных дней,,,
,,,10000,"3,6","324,5","270,4",55-60 календарных дней,,,
,,,20000,"3,4","311,3","259,4",60-65 календарных дней,,,
,Ланъярд,"Материал: нейлон
Размер: 135*3,8см
Цвет: фиолетовый пантон 2089с
Нанесение лого объемные буквы 1 цвет
Металлическая фурнитура: пряжка, 2 треугольных карабина, 2 черных D карабина, 1 розовый D карабин, кольцо, ПВХ вставка для телефона
Цветные шнурки в черных D образных карабинах",1000,"9,7","890,0","741,7",40-45 календарных дней,20 200руб.,"18-20 календарных днейдней фото/видео, 12-14 календарных дней доставка в МСК",
,,,5000,"9,0","825,0","687,5",50-55 календарных дней,,,
,,,10000,"8,7","793,0","660,8",60-65 календарных дней,,,
,,,20000,"8,5","777,0","647,5",70-75 календарных дней,,,
,Карабин,"Материал: алюминиевый сплав
Размер:111*60 мм",1000,"9,3","852,0","710,0",40-45 календарных дней,3 500руб.,12-14 календарных дней доставка в МСК,
,,,5000,"9,1","828,0","690,0",50-55 календарных дней,,,
,,,10000,"8,9","813,0","677,5",60-65 календарных дней,,,
,,,20000,"8,7","796,0","663,3",70-75 календарных дней,,,
,Карабин,"Материал: алюминиевый сплав
Размер:42*60 мм",1000,"1,6","145,0","120,8",40-45 календарных дней,3 500руб.,12-14 календарных дней доставка в МСК,
,,,5000,"1,54","140,0","116,7",50-55 календарных дней,,,
,,,10000,"1,51","138,0","115,0",60-65 календарных дней,,,
,,,20000,"1,49","136,0","113,3",70-75 календарных дней,,,
,Бейдж,"Материал: ПВХ
Цвет: прозрачный
Размер внешний: 130*84мм
Размер внутренний: 105*74мм
Без кастомизации",3000,"0,4","38,0","31,7",30-35 календ.дней,1 800руб.,Доставка до Москвы 12-14 календ.дней,
,,,5000,"0,3","34,0","28,3",,,,
,,,10000,"0,3","31,0","25,8",35-40 календ.дней,,,
,,,20000,"0,3","29,0","24,2",,,,
,,,,,,,,,,
,Кардхолдер,"Материал: алюминий
Вес: ~0,02кг
Размер: ~10*6см
Цвет: черный/красный/синий/золотой/серебристый
Без брендирования",500,"4,1","374,0","311,7",25-30 календ.дней,3 500руб.,Доставка: 12-14 календ.дней,
,,,1000,"4,1","370,0","308,3",30-35 календ.дней,,,
,,,5000,"4,0","365,0","304,2",,,,
,,,10000,"3,9","360,0","300,0",40-45 календ.дней,,,
,,,20000,"3,8","350,0","291,7",,,,
,Паракорд,"Материал: полиэстер
Цвет: по пантону
Индивидуальный размер по макету
Бирка с логотипом",500,"4,9","473,0","394,2",50-55 календ.дней,11 000руб.,"Фото/видео: 12-13 календ.дней
Доставка:12-14 календ.дней",
,,,1000,"4,9","468,0","390,0",,,,
,,,5000,"4,8","464,0","386,7",55-60 календ.дней,,,
,,,10000,"4,8","460,0","383,3",,,,
,,,20000,"4,7","456,0","380,0",65-70 календ.дней,,,
,Кардхолдер,"Материал: ПВХ
Цвет: прозрачный
Размер внешний: 130*84мм
Размер внутренний: 105*74мм
Без кастомизации",500,"0,5","45,0","37,5",30-35 календ.дней,1 800руб.,Доставка до Москвы 12-14 календ.дней,
,,,1000,"0,4","40,0","33,3",,,,
,,,5000,"0,3","34,0","28,3",,,,
,,,10000,"0,3","31,0","25,8",35-40 календ.дней,,,
,,,20000,"0,3","29,0","24,2",,,,
,Ретрактор,"Материал: пластик
Цвет: черный
Гравировка на карабине
Шелкография на ретракторе",1000,"2,3","236,0","196,7",50-55 календ.дней,12 100руб.,"Фото/видео: 6-7 календ.дней
Доставка до Москвы 12-14 календ.дней",
,,,5000,"2,3","230,0","191,7",50-55 календ.дней,,,
,,,10000,"2,2","221,0","184,2",50-55 календ.дней,,,
,,,20000,"2,1","217,0","180,8",55-60 календ.дней,,,
