,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Чехол для бейджа,"Материал кожзам, выкрас в соответствии с фабричной цветовой картой, лого тиснение",200,"5,2","480,99 ₽
",45-50кд,6 955 ₽,20-22кд,
,Чехол для бейджа,"Материал: силикон, пластик
Размер: 128*70мм
Цвет: пантон
Лого: шелкография 1 цвет",1000,"2,2","207,25 ₽",40-45 кд,9 725 ₽,"Фото/видео: 10-12 календ.дней
Доставка: 12-14 календ.дней",
,Чехол для ноутбука,"Материал: кожзам
Размеры: в соответствии с визуалом, два кармана
Цвета: наружняя часть и подкладка в соответствии с цветокартой фабрики
Лого: тиснение",200,"30,0","2 887,36 ₽",50-55кд,17 600 ₽,20-22кд,
,Чехол для ноутбука,"Материал неопрен, размер 40*30*2см, пришить две петельки, сделать подклад фиолетовым (цветовая карта приложена справа в доп фото), лого тканевая бирка",200,"13,0","1 299,75 ₽",40-45кд,10 775 ₽,20-22кд,
,Ланъярд ,"Материал: нейлон
Размер: 100*2,5см
Цвет: черный+фиолетовый (из карты фабрики)
Бирка с лого
Металлические карабины
MOQ:300шт",300,"7,3","690,0",50-55 календ.дней,15 160руб.,"Фото/видео: 11-12 календ.дней
Доставка: 12-14 календ.дней",
,Чехол для ноутбука на заказ по индвидуальному дизайну,"Размер: 30*41,5
Материал: неопрен
Цвет: согласно макету серый+фиолетовый подклад из карты фабрики
Печать лого шелкография ",1000,"20,0","1847,3",70-75 календ. дней,21 146 руб,"Фото/видео: 11-12 календ.дней
Доставка: 12-14 календ.дней",
,Чехол для ноутбука на заказ по индвидуальному дизайну,"Размер: 30*41,5
Материал: неопрен
Цвет: согласно макету серый+фиолетовый подклад из карты фабрики
Лого на силиконовой подложке",1000,"20,1","1862,6",70-75 календ. дней,"31 565 руб
Необходимо открытие индивидуальной формы для изготовления логотипа","Фото/видео: 11-12 календ.дней
Доставка: 12-14 календ.дней",
,Чехол для ноутбука,"Материал: оксфорд/флис
Размер: 41*30см
Цвет: фабричный серый
Кастом: пришить две петельки, лого тканевая бирка на лицевой стороне",200,"16,7","1547,2",51-56кд,21078,25-27кд,
,Ланъярд ЖД,"Материал: нейлон
Размер: 120*3,8см
Цвет: черный+фиолетовый 
Бирка с лого
Нанесение лого шелкография
Металлическая черная фурнитура
MOQ:300шт",300,"10,0","945,0",55-60 календ.дней,19 395руб.,"Фото/видео: 12-14 календ.дней +
Доставка: 12-14 календ.дней",
,,,1000,"9,4","885,0",,,,
,Ланъярд АВИА,"Материал: нейлон
Размер: 120*3,8см
Цвет: черный+фиолетовый 
Бирка с лого
Нанесение лого шелкография
Металлическая черная фурнитура
MOQ:300шт",300,"10,9","1040,0",45-50 календ.дней,19 395руб.,"Фото/видео: 12-14 календ.дней +
Доставка: 12-14 календ.дней",
,,,1000,"10,2","980,0",,,,
,Ланъярд жаккард ЖД,"Материал: нейлон, полиэстер
Размер: 120*3,8см
Толщина 1,5мм
Цвет: черный+фиолетовый 
Бирка с лого
Нанесение лого шелкография
Металлическая черная фурнитура
MOQ:1000шт",1000,"9,4","892,0",55-60 календ.дней,19 646руб.,"Фото/видео: 12-14 календ.дней +
Доставка: 12-14 календ.дней",
,Ланъярд жаккард АВИА,"Материал: нейлон, полиэстер
Размер: 120*3,8см
Толщина 1,5мм
Цвет: черный+фиолетовый 
Бирка с лого
Нанесение лого шелкография
Металлическая черная фурнитура
MOQ:1000шт",1000,"10,3","982,0",45-50 календ.дней,,,
,Ланъярд,"Материал: нейлон
Размер: 135*3,8см
Цвет: фиолетовый пантон 2089с
Нанесение лого объемные буквы 1 цвет
Металлическая фурнитура: пряжка, 2 треугольных карабина, 2 черных D карабина, 1 розовый D карабин, кольцо, ПВХ вставка для телефона
Цветные шнурки в черных D образных карабинах",1000 ЖД,"10,4","995,0",50-55 календ.дней,Предтиражный образец,Фото/видео: 17-18 календ.дней,
,,,1000 АВИА,"11,2","1077,0",40-45 календ.дней,,,
,Ланъярд,"Материал: нейлон
Размер: 135*3,8см
Цвет: фиолетовый пантон 2089с
Нанесение лого объемные буквы 1 цвет
Металлическая фурнитура: пряжка, 2 треугольных карабина, 2 черных D карабина, 1 розовый D карабин, кольцо, ПВХ вставка для телефона
Цветные шнурки в черных D образных карабинах",500 ЖД,"10,7","1017,0",50-55 календ.дней,Предтиражный образец,Фото/видео: 17-18 календ.дней,
,,,500 АВИА,"11,5","1098,0",40-45 календ.дней,,,
,,,500 стюард,"17,4","1705,0",37-40 календ.дней,,,
