,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Мультитул,"Материал: нержавеющая сталь
Размер: 102*39 мм
Упаковка: OPP пакет, индивидуальная коробка
Примечание от фабрики: ", Дизайн: из наличия,200,"40,4","4165,5",35-40,"41,3","4258,5",25-30,9 000,2,12-14,
,,," Дизайн: нанесение лого, гравировка",,"40,7","4195,2",,"41,6","4288,2",,,,,
 ,Мультитул аналог,"Материал: нержавеющая сталь
Размер: 106*45 мм
Упаковка: OPP пакет
Примечание от фабрики: ", Дизайн: из наличия,200,"15,5","1593,7",40-45,"16,4","1692,2",30-35,6 000,3,13-15,
,,," Дизайн: нанесение лого, гравировка",,"15,8","1623,4",,"16,7","1721,9",,9 000,3,,
 ,Ручной фонарь,"Материал: палстик, металл
Размер: 3,9*17*4,2 см
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нанесение лого, гавировка",200,"11,0","1135,1",40-45,"12,1","1250,7",30-35,5 000,2,12-14,
 ,Фонарь на голову,"Материал: палстик, металл, резинка
Размер: 64*35 мм (фонарь), резинка универсального размера, тк растягивается
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нанесение лого, гавировка
- два варианта ленты на голову на выбор (черно-фиолетовая и черно-белая)
- три варианта цвета фонарика (черный, белый, красный)",200,"4,4","455,1",35-40,"4,8","492,0",25-30,5 000,2,12-14,
 ,Ручной фонарик-брелок ,"Материал: палстик, металл, резинка
Размер: 87*15 мм (фонарь), 45 мм - длина карабина
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нанесение лого, гавировка
",200,"2,9","296,4",35-40,"3,0","310,9",25-30,5 000,5,15-17,
 ,Ручной фонарик,"Материал: пластик, металл
Размер: 22*170*15 мм (растягивается до длины 570 мм)
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нанесение лого, гавировка
- 3 цвета на выбор - черный/красный/синий",200,"3,7","377,8",40-45,"4,2","427,9",30-35,9 000,7,17-19,
 ,Фонарь,"Материал: пластик, металл
Размер: 11,5*6*2,5 см
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нанесение лого, гавировка
",200,"4,4","448,2",30-35,"4,8","496,4",20-25,7 000,5,15-17,
 ,Каска с фонарем,"Материал: пластик, металл
Размер: 5*6*4 см (фонарик), 29,5*23,5*15 см (каска)
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нанесение лого, шелкография 1 цвет
цвета: черный, красный, белый, оранжевый, желтый, синий",200,"16,3","1678,4",35-40,"19,8","2039,8",25-30,8 000,4,14-16,
 ,Отвертка,"Материал: нержавеющая сталь + корпус из алюминия
Размер: 16*3,7 см (размер коробки)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*набор с 10 насадками
Встроенная выдвижная алюминиевая ручка
Магнитный наконечник", Дизайн: из наличия,200,"11,3","1159,7",25-30,"12,11","1247,28",15-20,"8 000,00",2,12-14,
 ,Отвертка,"Материал: нержавеющая сталь + корпус из алюминия 
Размер: 16*6 см (размер коробки)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*набор с 28 насадками
Встроенная выдвижная алюминиевая ручка
Магнитный наконечник", Дизайн: из наличия,200,"18,4","1894,9",25-30,"20,1",2070,15-20,"8 000,00",2,12-14,
 ,Отвертка аналог 1,"Материал: нержавеющая сталь + корпус ил алюминиего сплава
Размер: 15*3,8 см (размер кейса)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*набор с 31 насадкой
Встроенная выдвижная алюминиевая ручка
Магнитный наконечник

", Дизайн: из наличия,200,"19,4","1994,2",25-30,"20,35","2095,74",15-20,"8 000,00",2,12-14,
 ,Отвертка аналог 2,"Материал: нержавеющая сталь + корпус ил алюминиего сплава
Размер: 15,1*3,6*7,2 см (размер кейса)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*40 насадок
Ручка из PP+TPR для удобного захвата
Магнитный наконечник


", Дизайн: из наличия,200,"23,5","2416,1",25-30,"25,23","2598,25",15-20,"8 000,00",2,12-14,
 ,Отвертка аналог 3,"Материал: нержавеющая сталь + корпус ил алюминиего сплава
Размер: 15*3,8 см (размер кейса)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*8 насадок
Ручка из PP+TPR для удобного захвата
Магнитный наконечник
Встроенный выдвижной отсек для 8 бит

", Дизайн: из наличия,200,"9,1","935,7",25-30,"9,87","1016,23",15-20,"8 000,00",2,12-14,
 ,Отвертка аналог 4,"Материал: корпус из алюминиевого сплава + алюминиевая ручка
Размер: 16,7*8 см (размер кейса)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*31в1
Магнитный наконечник", Дизайн: из наличия,200,"12,6","1301,7",25-30,"13,46","1386,29",15-20,"8 000,00",2,12-14,
 ,Отвертка аналог 5,"Материал: корпус из алюминиевого сплава + алюминиевая ручка
Размер: 16,7*8 см (размер кейса)
Упаковка: индивидуальная коробка
Примечание от фабрики: 
*48 насадок
Магнитный наконечник", Дизайн: из наличия,200,"16,1","1661,9",25-30,"17,1","1761,16",15-20,"8 000,00",2,12-14,
