,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Описание товара,Описание от ММ,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Брелок,"Брелок с вышитой надписью. Тканая лента на металлическом кольце. Материал: ткань, синтетическая нить, металл. Размер: 3х14 см (+/- 10%). Цвет по согласованию с Заказчиком. Нанесение: вышивка. ","Материал: полиэстер, металл
Рамзер: 14*3 см
Цвет, дизйн: вышивка лого клиента 
Упаковка: OPP пакет ",300,"3,7","311,4",37-42,"3,7","314,8",27-32,5 500,7,10-12,
,,,,500,"2,3","192,2",37-42,"2,3","195,7",27-32,,,,
,,,,1000,"1,2","103,5",37-42,"1,3","107,0",27-32,,,,
,,,,2500,"1,1","95,0",40-45,"1,2","98,5",30-35,,,,
,,,,5000,"1,0","84,7",40-45,"1,0","88,2",30-35,,,,
,,,,10000,"1,0","82,1",40-45,"1,0","85,5",30-35,,,,
 ,Брелок,Брелок-ремувка из сублимационной ленты на металлическом кольце. Материал: металл; полиэстер 100%. Размер: 150мм*25мм (+/- 10%). Цвет по согласованию с Заказчиком. Нанесение: сумблимационная печать с двух сторон. ,"Материал: полиэстер, металл
Размер: 15*2,5 см
Цвет, дизйн: сумблимационная печать с двух сторон
Упаковка: индивидуальный пакетик",100,"1,3","106,8",35-40,"1,3","112,8",25-30,5 000,5,15-17,
,,,,300,"1,1","95,5",,"1,2","101,4",,,,,
,,,,500,"1,1","93,2",,"1,2","99,2",,,,,
,,,,1000,"1,1","91,5",,"1,2","97,5",,,,,
,,,,2500,"1,0","85,2",40-45,"1,1","90,8",30-35,,,,
,,,,5000,"1,0","84,8",,"1,1","90,4",,,,,
,,,,10000,"1,0","82,0",45-50,"1,0","87,5",35-40,,,,
 ,Брелок,"Тканая лента на металлическом карабине. Материал: металл; полиэстер 100%. Размер: 1,5х15 см (+/- 10%). Цвет по согласованию с Заказчиком. Нанесение: полноцвет с трансфером. Площадь брендирования не менее 5 и не более 40%
 ","Материал: полиэстер, металл
Размер: 15*1,5 см
Цвет, дизйн: при расчете ориентировались на референс
Упаковка: OPP пакет по 100 шт",300,"2,1","178,0",35-40,"2,2","184,3",25-30,5 500,2,12-14,
,,,,500,"1,4","117,2",,"1,5","123,6",,,,,
,,,,1000,"0,9","72,0",,"0,9","78,4",,,,,
