,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,
Фото,Наименование,Характеристики,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец ,,Доп. фото
,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Стоимость,Срок,
 ,Подстаканник,"В наборе: 
1. подстаканник - индивидуальная форма под каждый дизайн, печь посередине рельефная, сбоку логотип, гравировка
2. ложка - сток
3. стакан (поставляется отдельно)
4. подарочная коробка с ложементом
Материал: металл
Цвет: под серебро",1002 (167*6),"39,7","3652,1",90-95 дней,"41,3","3802,2",80-85 дней,160050,"17-20 дней, фото-видео 7-10 дней",
,Стоимость со стаканом,"Материал: стекло 
Объем: 266 мл
Размер: 11.8×6.6×6.1 см",1002 (167*6),"40,6","3731,6",90-95 дней,"42,2","3881,9",80-85 дней ,3100,10-12 дней ,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
 ,Подстаканник,"В наборе: подстаканник, ложка, стакан (поставляется отдельно), подарочная коробка
Материал: металл
Цвет: под серебро
Брендирование: индивидуальный дизайн (форма подстаканника + 6 макетов литых изображений)
Упаковка: подарочная коробка по индивидуальному дизайну",1002 (167*6),"38,3","3519,3",82-87 дней,"39,9","3669,5",72-77 дней,,,
