,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 500 мл 7,3*22,5 мм
Упаковка: индивидуальная коробка
Примечание от фабрики: можно выбрать форму крышки"," Дизайн: нет, из наличия",100,"12,4","1111,2",30-35,"13,5","1218,9",20-25,3 100,2,12-14,
,,,,200,"12,3","1102,7",,"13,5","1210,4",,,,,
,,,,500,"11,8","1065,3",35-40,"13,0","1169,8",25-30,,,,
,,,,1000,"11,5","1031,4",,"12,6","1132,8",,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 350 мл, 7,3*18,5 см
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: нет, из наличия",100,"7,6","681,5",30-35,"8,6","775,7",20-25,2 600,2,12-14,
,,,,200,"7,5","673,0",,"8,5","767,2",,,,,
,,,,500,"7,2","648,3",35-40,"8,2","739,7",25-30,,,,
,,,,1000,"7,0","627,0",,"8,0","715,7",,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 300 мл, 7,5*14*5,5
Упаковка: фабричная коробка
Примечание от фабрики: "," Дизайн: нет, из наличия",100,"6,0","537,0",30-35,"6,9","621,1",20-25,2 500,2,12-14,
,,,,200,"5,9","528,5",,"6,8","612,6",,,,,
,,,,500,"5,7","510,2",,"6,6","594,3",,,,,
,,,,1000,"5,5","493,5",,"6,4","575,2",,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 450 мл
Упаковка: фабричная коробка
Примечание от фабрики: "," Дизайн: нет, из наличия",100,"8,1","724,7",30-35,"9,4","845,8",20-25,3 000,2,12-14,
,,,,200,"8,0","716,2",,"9,3","837,3",,,,,
,,,,500,"7,9","711,1",35-40,"9,3","832,2",25-30,,,,
,,,,1000,"7,7","688,5",,"9,0","806,1",,,,,
 ,Бутылка,"Материал: нержавеющая сталь
Размер: 380 мл, 8*8*20.05 см
Упаковка: фабричная коробка
Примечание от фабрики: "," Дизайн: нет, из наличия",100,"13,1","1181,7",30-35,"14,2","1276,0",20-25,3 100,2,12-14,
,,,,200,"13,0","1173,2",,"14,1","1267,5",,,,,
,,,,500,"12,6","1133,8",35-40,"13,6","1225,3",25-30,,,,
,,,,1000,"12,2","1097,8",,"13,2","1186,5",,,,,
 ,Бутылка,"Материал: тритан
Размер: 500 мл, 21,5*7,5
Упаковка: индивидуальный пакет
Примечание от фабрики: синий цвет от 500 шт."," Дизайн: нет, из наличия",500,"7,0","632,4",45-50,"7,9","710,8",35-40,2 700,5,15-17,
,,,,1000,"6,4","577,0",,"7,3","653,0",,,,,
