,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Чехол для ноутбука,"Материал: Трикотажная жаккардовая ткань, 100% ПЭ, микрофибра.
Фурнитура: водонепроницаемая молния, пуллеры - металл, ПВХ.
Цвет: в ассортименте
Персонализация: Индивиудальный паттерн", Дизайн: полный кастом по макету клиента,300,"16,2","1867,0",75-80,"18,01","2071,34",65-70,"5 000,00","Фото 17-21
Доставка 10-12",
,,,,,,,,,,,,,
 ,кроссбоди,"Материал: tpu blazar 
Размер: 18*3,8*13 см
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Ширина стропы: 3 см
Длина стропы: 136 см
Фурнитура: полукольца, карабины на концах стропы, g-образный карабин, карабин
Одно центральное отделение
"," Дизайн: брендированный пуллер, сублимация на стропе
Можно добавить: ремувку примерно плюс 200 рублей к цене",300,"18,966","2181,13",60-65,"20,699","2380,39",50-55,"15 000,00",22 дня (фото / видео 10-12 дней),
,,,,500,"16,061","1847,05",60-65,"17,794","2046,31",50-55,,,
 ,сумка холстер,"Материал: составной нейлон
Материал кармана: tpu blazar 
Ширина: 35,8 см
Размер tpu кармана: 11,3*13 см
Без вставки наполнителя
Ширина стропы: 3 см
Фурнитура: металлический фастекс, полукольцо на кармане
"," Дизайн: брендированный пуллер, сублимация на стропе
Можно добавить: шеврон примерно 88 рублей к цене
металлический шильд: примерно 188 рублей к цене
 ремувку примерно плюс 200 рублей к цене",300,"24,668","2836,80",60-65,"26,980","3102,73",50-55,"15 000,00",22 дня (фото / видео 10-12 дней),
,,,,500,"21,763","2502,72",60-65,"24,075","2768,65",50-55,,,
 ,Набор для очистки гаджетов,"Материал: пластмасса
Комплект: щеточка для удаления пыли, спрей, инструменты для труднодоступных мест, пуллер 
Упаковка: упаковочная коробка", Дизайн: переводная печать,2000,"2,890","332,57",30-35,"3,340","383,83",20-25,"5 100,00",2 дня (фото / видео 10-12 дней),
,,,Дизайн: сток,100,"3,040","328,53",30-35,"3,490","376,67 ₽",20-25,,,
 ,Набор из джибитсов (5 видов),"Материал: ПВХ
Размер: 2*2 см
Упаковка: ОПП пакет
Количество цветов:  5-6                                                     Примечание от фабрики: 5 видов фигурок, без ремувки", Дизайн: по макету клиента,1000,"2,920","315,68",50-55,"3,060","330,22",40-45,"66 700,00","Фото 7-10
Доставка 13-15",
,,,,,,,,,,,,,
 ,Набор из джибитсов (10 видов),"Материал: ПВХ
Размер: 2*2 см
Упаковка: ОПП пакет
Количество цветов:  5-6                                                     Примечание от фабрики: 10 видов фигурок, без ремувки", Дизайн: по макету клиента,1000,"5,830","629,66",50-55,"6,100","658,74",40-45,"132 000,00","Фото 7-10
Доставка 13-15",
,,,,,,,,,,,,,
 ,Ремувка,"Материал: ПВХ
Упаковка: ОПП пакет
Количество цветов: 1-2                                                      Примечание от фабрики: ", Дизайн: по макету клиента,1000,"1,260","136,25",50-55,"1,320","142,30",40-45,"17 100,00","Фото 7-10
Доставка 13-15",
,,,,,,,,,,,,,
