,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Носки,"Материал: Хлопок 70%, полиэфирное волокно 25%, спандекс 5%
Размер: one size
Упаковка: OPP пакет
Примечание от фабрики: необходимо оформление СС+ЧЗ (ориентировочная стоимость 100-110 тыс.руб.)"," Дизайн: градиентный цвет, термотрансфер лого",500,"2,9","255,0",45-50,,,,10 000,7,17-19,
,,,,1000,"2,8","246,0",50-55,,,,,,,
,,,,5000,"2,5","219,0",55-60,,,,,,,
 ,Термостакан,"Материал: Нержавеющая сталь 304, силикон 
Размер: 350ml, 6,9*7,1*17,5см
Упаковка: белая картонная коробка
Примечание от фабрики: "," Дизайн: выкрас в пантон, 3D печать логотипа ",1000,"6,6","593,73 ₽",55-60,,,,17 500,14,24-26,
,,,,,,,,,,,,,,
 ,Сумка с затяжками,"Материал: Нейлон 
Размер: 21*33*10см
Упаковка: OPP пакет
Примечание от фабрики: выкрас в пантон невозможен, можно сделать бирку с логотипом или нанести лого на сумку", Дизайн: Нанесение лого (метод зависит от места нанесения),1000,"9,8","863,65",50-55,,,,16 400,10,20-22,
,,,,,,,,,,,,,,
 ,Спортивная бутылка,"Материал: Тритан 
Размер: 1000ml, 21*9см
Упаковка: OPP пакет
Примечание от фабрики: Минимальный тираж- 3000 штук"," Дизайн: выкрас в пантон, шелкография логотипа",3000,"3,2","300,00 ₽",55-60,,,,16 100,12,22-24,
,,,,,,,,,,,,,,
 ,Термохромная бутылка,"Материал: Нержавеющая сталь 304
Размер: 500ml, 21*7,3см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: выкрас в пантон, лазерная гравировка логотипа",1000,"12,4","1 112,58 ₽",50-55,,,,22 920,14,24-26,
,,,,,,,,,,,,,,
,Плиссированный шоппер,"Материал: полиэстер
Размер: два вида размеров (см.доп.фото), можно настроить
Упаковка: OPP пакет"," Дизайн: выкрас в пантон, бирка с лого",500,"7,3","639,0",45-50,,,,7 800,7,17-19,
,,,,1000,"7,0","619,0",45-50,,,,,,,
,Двухсторонний шоппер,"Материал: полиэстер
Размер: ~30*40см, можно настроить 
Упаковка: OPP пакет
Примечание от фабрики: цена примерная, зависит от дизайна и размера"," Дизайн: выкрас в пантон, бирка с лого",500,"19,0","1675,0",60-65,,,,16 300,9,19-21,
,,,,1000,"18,7","1648,0",65-70,,,,,,,
,Стеганная сумка,"Материал: полиэстер
Размер: ~30*40см, можно настроить 
Упаковка: OPP пакет
Примечание от фабрики: цена примерная, зависит от дизайна и размера"," Дизайн: цвет из раскладки фабрики, бирка с лого, ПВХ пуллер",500,"9,5","835,0",60-65,,,,28 800,9,19-21,
,,,,1000,"9,0","794,0",65-70,,,,,,,
,Зонт-автомат Градиентная печать,"Материал: полиэстер
Размер: 21 дюйм, 8 спиц
Упаковка: OPP пакет
"," Дизайн: цифровая печать, запечатка купола по пантону",500,"12,6","1139,9",50-55,,,,16 400,7,17-19,
,,,,1000,"12,0","1086,8",50-55,,,,,,,
,Зонт-автомат светоотражающий,"Материал: полиэстер
Размер: 23 дюйма, 8 спиц
Упаковка: OPP пакет
"," Дизайн: цвет из раскладки фабрики, логотип цифровая печать",500,"16,6","1499,9",55-60,,,,16 800,7,17-19,
,,,,1000,"15,7","1420,9",55-60,,,,,,,
,Коврик для мыши,"Материал: силикон
Размер: 25х30 см
Упаковка: OPP пакет"," Дизайн: выкрас в пантон, УФ-печать",500,"7,9","709,3",50-55,,,,10 000,7,17-19,
,,,,1000,"7,6","681,8",50-55,,,,,,,
,"Коврик для мыши, аналог","Материал: каучук+ткань
Размер: 20,3х17,8 см
Упаковка: OPP пакет
"," Дизайн: термоперенос, не 100% попадение в пантон",500,"2,0","189,2",45-50,,,,4 900,5,15-17,
,,,,1000,"2,0","182,3",45-50,,,,,,,
,Брелок антистресс,"Материал: PU
Размер: 6х6х4 см
Упаковка: РР шар прозрачный
Примечание от фабрики: минимальный тираж 1000 шт
Открытие форм включено в стоимость
Выкрас по пантону - стоимость за стандартные цвета, некоторые яркие цвета, а так же золотистые и т.п. не включены в стоимость "," Дизайн: выкрас в пантон (стандартные цвета), печать логотипа в один цвет ",1000,"3,8","347,0",55-60,,,,35 600,10,20-22,
,Банка для конфет,"Материал: металл
Размер: 4,5*6*1,5см
Упаковка: OPP пакет
Примечание от фабрики: без конфет", Дизайн: полноцветная запечатка ,1000,"2,7","241,0",45-50,,,,40 500,9,19-21,
