,"Менеджер: Эмина Арина Ильинична
Email: arinae@megamind.ru
Телефон: +7 (918) 370-96-97
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Коврик для мыши,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: "," Дизайн: полноцветная запечатака, синий/оранжевый цвет",8000,"3,6","368,5",35-40,"4,4","447,6",35-40,10 000,10,20-22,
,Бутылка с манжетом,"Материал: стекло
Размер: 420 мл, 21* 7 см 
Упаковка: мндивидуальная коробка 
Примечание от фабрики: "," Дизайн: выкрас в цвет близкий к пантону, нанесение лого- наклейка ",8000,"4,7","487,8",40-45,"5,8",6 00,30-35,7 100,7,17-19,
,Зарядный кабель,"Материал: ABS
Размер: 120 см
Упаковка: индивидуальная коробка 
Примечание от фабрики: 
Цвета: синий, оранжевый, красный, черный, серый "," Дизайн: лазерная гравировка, цвета из наличия ",8000,"1,9","200,2",35-40,"2,2","227,4",25-30,2 500,3,13-15,
,Игрушка сквиш,"Материал: PU
Размер: 7*7*5 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: "," Дизайн: фабричный цвет, печать логотипа 1  цвет по методу шелкографии",8000,"0,7","67,2",50-55,"0,7","76,0",40-45,9 100,3,13-15,
,Игрушка сквиш,"Материал: PU
Размер: ок. 8*8*8 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: 
Точная стоимость после выбора формы и производства образца
Фабрика делает любое нанесение, включая градиент"," Дизайн: фабричная форма, выкрас в пантон, нанесение логотипа",8000,"1,0","99,8",55-60,"1,0","105,6",45-50,46000- открытие формы на выкрас и печать,7,17-19,
,Игрушка сквиш,"Материал: PU
Размер: до 10 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: 
Точная стоимость после утверждения макета и производства образца
Фабрика делает любое нанесение, включая градиент и любые формы"," Дизайн: индивидуальная форма, выкрас в пантон, нанесение логотипа",8000,"2,6","272,2",65-70,"2,7","279,2",55-60,71000 - открытие формы,10,20-22,
 ,Кабель,"Материал: цинковый сплав
Размер: длина кабеля 11,5 см
Упаковка: OPP пакет
Примечание от фабрики: 
Типы разъемов: USB - micro USB/Type
C/Lighting
Диаметр кольца для ключей: 2 см"," Дизайн: золотой/серый цвет ободка на выбор (сам провод черный), гравировка логотипа",8000,"3,8","389,8",55-60,"3,9","398,1",45-50,7 000,7,17-19,
,Картхолдер/бейдж,"Материал: пластик
Размер: снаружи - 7*11 см, внутри - 5,4*8,5 см
Упаковка: OPP пакет
Примечание от фабрики: 
Есть два варианта крепления бейджа - в вертикальныом и горизонтальном положении
Можно забрендировать также ретрактор и ланъярд, нужен макет с дизайном для расчета итоговой стоимости "," Дизайн: настройка синего/оранжевого цвета; нанесение лого, 1 цвет, шелкография, с одной стороны бейджа",8000,"1,5","156,2",40-45,"1,7","170,7",30-35,24 000,10,20-22,
,Держатель для телефона,"Материал: пластик
Размер: 7,5*2 см
Упаковка: индивидуальный пластиковый пакет
Примечание от фабрики: "," Дизайн: УФ печать лого, синий/оранжевый цвет из наличия фабрики",8000,"1,7","177,8",45-50,"1,8","185,5",35-40,5 000,7,17-19,
,,," Дизайн: УФ печать лого, синий/оранжевый цвет - выкрас в близкий к пантону",8000,"1,9","191,3",,"1,9","199,1",,3 000,5,15-17,
,Брелок,"Материал: нейлон
Размер: длина шнура 13 см
Упаковка: индивидуальный пакетик
Примечание от фабрики: "," Дизайн: 
- выбор цвета шнура из раскладки фабрики, подбор близкого к пантону цвета
- жаккардовая бирка по индивидуальному дизайну 
- выбор фурнитуры: колечко/карабин",8000,"1,5","150,5",50-55,"1,7","176,9",40-45,5 500,5,15-17,
,Шнурок для телефона,"Материал: нейлон
Размер: длина 140 см, толшина шнура 5 мм, размер вкладыша 5,6*2 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: 
- синий/оранжевый цвет шнура из раскладки фабрики, подбор близкого к пантону цвета
- печать лого на вкладыше, шелкография, 1 цвет",8000,"1,6","163,2",50-55,"1,6","168,6",40-45,7 000,7,17-19,
