,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка ЖД долгое,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Термокружка,"Материал: нержавеющая сталь 304 внутри и 201 снаружи, покрытие софт-тач
Размер: 19х7,3 см, 400 мл
Упаковка: белая коробка
Примечание от фабрики: в крышке нет отверстия для шнурка
Держит температуру до 6 часов

Оформление ДС 14500 не включено в стоимость"," Дизайн: софт-тач покрытие по пантону, круговая гравировка",7200,"7,6","698,8",65-70,"6,5","588,4",75-80,10 900,5,15-17,
 ,Термокружка,"Материал:  снаружи нержавеющая сталь 201,  внутри колба из пищевого пластика
Размер: 7,3х7х14,3 см, 250 мл
Упаковка: белая коробка
Примечание от фабрики:
Держит температуру до 5 часов

Оформление ДС 14500 не включено в стоимость"," Дизайн: покрытие краской по пантону, круговая УФ-печать",9600,"3,3","304,7",65-70,"3,0","269,9",75-80,10 200,10,20-22,
,,,,17039,"3,2","294,8",70-75,"3,0","269,9",80-85,,,,
 ,Ручка из переработанного пластика,"Материал: переработанный пластик
Размер: 148,5х10,3 мм
Примечание от фабрики: цвет чернил синий
Наконечник пишущего стержня: никель 

Оформление ДС 14500 не включено в стоимость"," Дизайн: настройка цвета по пантону, логотип нанесен шелкографией в один цвет, размер нанесения 4х58мм",7200,"0,6","53,4",65-70,"0,5","47,3",75-80,9 800,7,17-19,
,,,,9600,"0,6","51,8",70-75,"0,5","47,2",80-85,,,,
,,,,17039,"0,6","50,1",75-80,"0,5","47,1",85-90,,,,
 ,Конверт для ручки,"Материал: крафт-картон, плотность 240 г
Размер: 17x3,5 см, размер окошка 5,7x1 см
", Дизайн: шелкография в один цвет,7200,"0,4","31,1",45-50,"0,3","28,5",55-60,6 300,5,15-17,
 ,Блокнот из переработанного пластика и макулатуры,"Материал:  Обложка и дисковые крепления: из переработанного пластика. Толщина пластика 1,3 мм
Бумажный блок из переработанной на 100% бумаги 110 г/м2, имеет естественный цвет крафта
Размер: А5, бумажный блок 48 листов
Упаковка: прозрачный пакет
Примечание от фабрики: фактура пластика однородная, без вкраплений
"," Дизайн: УФ-печать на первой обложке - полноцвет, на задней обложке печать в один цвет
Печать блока выполняется методом офсетной печати в один цвет",7200,"3,5","317,1",60-65,"3,1","284,1",70-75,89 400,10,20-22,
,,,,17039,"3,0","279,0",65-70,"2,9","264,6",75-80,,,,
 ,Сумка-шоппер,"Материал:  : 100% хлопок, плотность не менее 240 г/м2
Размер: 40х42 см
Упаковка: прозрачный пакет
Примечание от фабрики: внутри сумки втачной карман на молнии в виде косметички. Ручки: черного цвета стропа из смесовых волокон, ширина 3 см, общая длина 130 см
", Дизайн: печать на сумке: полноцветная на одной стороне и в 1-2 цвета - на второй. Печать выполнена методом термотрансфера. Размер нанесения 30х30 см,7200,"4,8","421,0",60-65,"4,0","352,6",70-75,27 600,10,20-22,
,,,,17039,"4,4","387,8",65-70,"3,9","345,2",75-80,,,,
 ,Городской рюкзак,"Материал:  Ткань Оксфорд 600 ПУ – 220 г/м (основной материал) Ткань Оксфорд 600 ПВХ – 400 г/м (спинка) Ткань Оксфорд 210 Д – 110 г/м (подкладка), Стропа 25 мм
Размер: 42×30×13 см
Объем: 14-16 л
Упаковка: прозрачный пакет
Примечание от фабрики: рюкзак с полем из мягкой части липучки. Размер поля для патчей 26х30 см. Имеет уплотнённые лямки с трехслойной сеткой и спинку, тем самым выдерживая нагрузку до 10 кг. Имеет внешний карман на молнии, внутренний и боковые карманы.
"," Дизайн: логотип на лицевой стороне рюкзака в один цвет методом шелкографии, поле с липучкой для крепления патчей",9600,"17,2","1516,6",70-75,"13,7","1200,8",80-85,19 000,10,20-22,
 ,Набор патчей из 4х штук,"Материал:  Оксфорд
Размер: от 4 до 10 см
Упаковка: набор в прозрачном пакете

", Дизайн: вышивка,9600,"7,1","621,2",60-65,"6,0","528,6",70-75,22 500,10,20-22,
 ,Зип-пакет,"Материал:  полиэтилен высокого давления, плотность 200 мкм с двух сторон (одна сторона 100 мкм)
Размер: 46х50 см + поле для вырубной ручки 7 см
Примечание от фабрики: Зип- бегунок оснащен удобным пуллером в виде кольца
"," Дизайн: нанесение цветное с двух сторон, выполненное методом флексопечати (4 цвета) ",33839,"0,8","72,5",70-75,"0,7","64,4",80-85,--,--,--,
