,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Нашивки (набор из 4 шт),"Материал: оксфорд
Размер: 6 х 6 см (2 шт), 6 х 3 см (2 шт)
Упаковка: индивидуальный пакет
Крепление: велкро
Примечание от фабрики: стоимость может быть уточнена после получения макетов и проработки образцов"," Дизайн: индивидуальный дизайн, вышивка",9 600 ,"1,0","92,1",40-45,"1,1","96,3",30-35,7 960,7,17-19,
 ,Ланъярд,"Материал: полиэстер
Размер: 2 х 88 см
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после получения макетов и проработки образцов"," Дизайн: сублимационная печать, 2 стороны","16800
 (сделают разбивку тиража по дизайнам 9600 +
7200)","0,8","74,5",40-45,"0,9","84,6",30-35,8 010,7,17-19,
 ,Шоппер,"Материал: хлопок 100%, 240 гр
Размер: 40 х 42 см
Ручки: 3 х 130 см
Цвет: выкрас в пантон / близкий цвет из раскладки
Подклад: полиэстер, пришивной карман на молнии
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость может быть уточнена после получения макетов и проработки образцов"," Дизайн: цифровая печать, 2 стороны","24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","5,4","462,7",50-55,"6,2","526,2",40-45,6 360,7,17-19,
,,Материал: полиэстер 210D,,,"4,3","368,2",50-55,"5,1","431,7",40-45,,,,
,Блокнот,"Материал: обложка - композитная кожа, страницы - эклогически чистая бумага без содержания древесины, 100 гр
Размер: А5
Кольца: пластик, как на главном фото
Внутренний блок: 48 листов, желтоватый цвет, запечатка в точку
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость должна быть уточнена после получения макетов и проработки образцов","Дизайн: полноцветная УФ-печать на передней обложке, одноцветная печать на задней обложке, печать в нижнем углу каждой страницы ","24239 (сделают разбивку тиража по дизайнам 17039 +
7200)*

*если разница только в цветах макетов, цена одинаковая
","7,3","656,8",55-60,"8,8","791,4",45-50,9 220,7,17-19,
,Блокнот,"Материал: обложка - PP пластик, 1 мм, страницы - бумага, 100 гр
Размер: А5
Кольца: пластик
Внутренний блок: 48 листов, желтоватый цвет или крафт, запечатка в точку
Упаковка: индивидуальный пакет
Примечание от фабрики: стоимость должна быть уточнена после получения макетов и проработки образцов","Дизайн: полноцветная УФ-печать на передней обложке, одноцветная печать на задней обложке, печать в нижнем углу каждой страницы ","24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","3,6","312,8",50-55,"4,2","367,7",40-45,33 850,7,17-19,
,Чехол для пропуска с лентой,"Материал: PU
Размер: 108 х 72 мм; окошко 52 х 78 мм 
Упаковка: сток пакетик
Примечание: должен быть подтвержден образец по финальному дизайн-проекту, стоимость может быть скорректирована","Дизайн: цвет пантон, двусторонняя полноцветная УФ-печать",16 800 ,"1,6","139,1",50-55,"1,7","145,7",40-45,9 900,7,17-19,
