,"Менеджер: 
Email: 
Телефон: ",,"Андрианова Анастасия Сергеевна
anastasiaandrianova@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Рюкзак,"Материал: прорезиненный полиэстер 
Размер: 
Упаковка: индивидуальный пакет
Примечание от фабрики: 
Подклад: дюспо близкий к пантону 


цена примерная, точная стоимость после изготовления образца или макета ", Дизайн: печать + тпу нанесение,300,"45,5","3819,1","1 145 724,30",75-80,"49,7","4176,1","1 252 833,00",65-70,15 000,20,30-32,
,,,,500,"35,0","3713,7","1 856 850,00",70-75,"39,0","4136,3","2 068 150,00",60-65,,,,
 ,Зонт с проявляющимся паттерном,"Материал: винил, стекловолокно
Размер: диаметр 116 см
Упаковка: индивидуальный пакет


цена примерная, точная стоимость после изготовления образца или макета ", Дизайн: проявляющийся от воды паттерн + лого,300,"16,5","1383,6","415 065,00",45-55,"18,3","1537,9","461 370,00",35-45,7 800,10,20-22,
Расчет от 27.08,,,,,,,,,,,,,,,,
 ,Рюкзак,"Материал: прорезиненный полиэстер 
Размер: 31*19*47 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
Подклад: дюспо близкий к пантону 
"," Дизайн: 
- печать на молнии в пантон
- выкрас фабричной формы пуллеров в пантон
- печать логотипа шелкография",2000,"32,4","2719,1","5 438 120,00",80-85,"36,2","3043,8","6 087 540,00",70-75,16 000,25,35-37,
 ,Рюкзак,"Материал: нейлон с водоотталкивающей пропиткой
Размер: 41*30*12 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
цена примерная, точная стоимость после изготовления образца "," Дизайн: выбор цвета подклада, нанесение - шелкография два места ",500,"17,1","1436,4","718 210,00",50-55,"19,6","1649,9","824 950,00",40-45,13 100,7,17-19,
,,,,1000,"16,3","1368,7","1 368 670,00",,"18,8","1575,9","1 575 880,00",,,,,
,,,,1500,"15,8","1326,7","1 989 990,00",,"18,2","1527,6","2 291 385,00",,,,,
,,,,2000,"15,5","1303,3","2 606 540,00",,"17,9","1504,2","3 008 380,00",,,,,
 ,Рюкзак,"Материал: нейлон с водоотталкивающей пропиткой
Размер: 41*30*12 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
цена примерная, точная стоимость после изготовления образца "," Дизайн: выбор цвета подклада, нанесение - TPU печать",500,"16,8","1411,8","705 920,00",50-55,"19,4","1625,3","812 665,00",40-45,13 100,7,17-19,
,,,,1000,"16,0","1344,8","1 344 820,00",,"18,5","1552,0","1 552 030,00",,,,,
,,,,1500,"15,5","1303,5","1 955 295,00",,"17,9","1504,5","2 256 690,00",,,,,
,,,,2000,"15,2","1280,1","2 560 280,00",,"17,6","1481,1","2 962 140,00",,,,,
 ,Чехол для ноутбука,"Материал: нейлон, подклад - велюр, каркас - эва
Размер: 37*27*3 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
цена примерная, точная стоимость после изготовления образца "," Дизайн: индивидуальный пошив, нанесение - цифровая печать",500,"14,5","1214,0","607 020,00",50-55,"18,1","1520,1","760 025,00",40-45,12 300,9,19-22,
,,,,1000,"12,8","1072,2","1 072 180,00",,"16,1","1354,0","1 354 020,00",,,,,
,,,,1500,"12,3","1028,7","1 543 095,00",60-65,"15,5","1299,3","1 948 950,00",50-55,,,,
,,,,2000,"12,0","1010,1","2 020 180,00",,"15,2","1275,8","2 551 660,00",,,,,
