,"Менеджер: Куницына Ольга
Email: olga.k@megamind.ru
Телефон: +7 (911) 087-57-14
",,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",,Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Сумка-шоппер,"Материал: оксфорд
Размер: 43х40х15 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета по цветовой карте", Дизайн: сублимация,811,"1,65","2,4","218,1",40-45,,,,"15 800,00","7-10 - фото/видео

12-14 - доставка в Москву",
,,,,5000,"1,6","2,14","197,14",45-50,,,,,,
,,,,10000,"1,5","1,98","182,29",50-55,,,,,,
 ,Сумка-шоппер,"Материал: оксфорд
Размер: 43х40х15 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета по цветовой карте", Дизайн: шелкография,811,"1,65","1,8","165,9",40-45,,,,"7 700,00","5-7 - фото/видео

12-14 - доставка в Москву",
,,,,5000,"1,6","1,4","128,75",45-50,,,,,,
,,,,10000,"1,5","1,28","118,17",50-55,,,,,,
 ,Сумка-шоппер,"Материал: полиэстер
Размер: 43х40х15 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета по цветовой карте", Дизайн: сублимация,811,"1,65","2,2","201,2",40-45,,,,"15 600,00","7-10 - фото/видео

12-14 - доставка в Москву",
,,,,5000,"1,6","1,96","180,78",45-50,,,,,,
,,,,10000,"1,5","1,81","166,95",50-55,,,,,,
 ,Сумка-шоппер,"Материал: полиэстер
Размер: 43х40х15 см
Упаковка: прозрачный пакет
Примечание от фабрики: настройка цвета по цветовой карте", Дизайн: шелкография,811,"1,65","1,6","149,0",40-45,,,,"7 500,00","5-7 - фото/видео

12-14 - доставка в Москву",
,,,,5000,"1,6","1,22","112,38",45-50,,,,,,
,,,,10000,"1,5","1,12","102,84",50-55,,,,,,
