,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,ТЗ,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Фрисби

","""Фрисби для игры на свежем воздухе.
В комплекте — пыльник.
Материал фрисби: пластик.
Диаметр: 27,5 см.
Материал пыльника: хлопок 350 г/м².
Размер: 33 х 30,5 см.
Персонализация: полная запечатка по инд дизайну.
Упаковка: пыльник.""





","Материал: фрисби - пластик, пыльник -хлопок 350 гр
Размер: 27,5*27,5*3 см
Упаковка: пыльник+пакет
В наборе: фрисби, пыльник"," Дизайн: УФ печать на фрисби, шелкография на пыльнике",300-500,"9,8","829,0",35-40,"11,7","994,9",25-30,16 500,6,16-18,
,,,,,501-1000,"7,9","675,0",35-40,"9,8","836,2",25-30,,,,
,,,,,1001-2000,"7,8","658,3",35-40,"9,6","819,5",25-30,,,,
,,,,,2000 и более,"7,5","638,2",40-45,"9,4","794,6",30-35,,,,
 ,"Ракетка для игры в падел с индивидуальным дизайном
(одна ракетка в наборе)","""Ракетка для игры в падел со шнуром для крепления на руке. В комплекте — чехол для хранения, оснащённый удобным ремнём для переноски.
Материал ракеток: 50% — углеродное волокно, 50% — стекловолокно.
Материал чехла: полиэстер.
Размер набора: 50 х 26 см.
Персонализация: инд дизайн.
Упаковка: чехол.""

","Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно), чехол - ткань Оксфорд
Размер: длина - 46-47 см, толщина - 3,8 см
Упаковка: чехол (фабричный, черный)
Примечание от фабрики: 
минимальный тираж 300 шт
*само поле ракетки выполнено в соответствии с одной из фабричных форм, а на нее уже наносится дизайн
*за доп стоимость можно кастомизировать чехол (выбрать цвет материала и нанести печать)
*мячики не включены в набор, за доп стоимость можно добавить мячи - цвет на выбор, возможно нанесение и разные варианты упаковок"," Дизайн: 
- ракетка (форма на выбор и выкрас по макету) + обмотка ручки резиной (цвет обмотки на выбор) + печать рисунка/лого по макету с двух сторон",300-500,"44,4","3905,9",85-90,"48,2","4237,5",75-80,33 500,30,40-42,
,,,,,501-1000,"43,1","3788,8",,"46,7","4110,6",,,,,
,,,,,1001-2000,"40,4","3551,3",,"43,9","3863,3",,,,,
,,,,,2000 и более,"39,1","3322,3",95-100,"42,5","3614,3",85-90,,,,
 ,"Набор для игры в пляжный теннис с индивидуальным дизайном

","""Набор для игры в пляжный теннис или фрескобол из 2 ракеток и 2 мячиков. В комплекте — пыльник.
Материал: ракетки — деревоволокно, ручка из древесины, мячик — резина.
Размер: 41 х 24 см.
Материал пыльника: хлопок 350 г/м².
Размер: 30 х 45 см.
Персонализация: индивидуальный дизайн.
Упаковка: пыльник.""

","Материал: ракетка - деревоволокно (плита МДФ) 10 мм толщиной, ручка из древесины, мячик - резина 
Размер: 30*24 см - основная часть, ручка - 17 см, толщина ручки 3,7 см
Упаковка: х/б пыльник белый с печатью 
Примечание от фабрики: 
В наборе: 2 ракетки, 2 мяча, пыльник

        
        
        
        "," Дизайн: 
- шелкография на ракетке по макету с двух сторон, в Пантон
- 2 белых мячика с печатью, тампопечать 1 цвет
- белый пыльник, печать лого, шелкография 1 цвет",300-500,"31,5","2677,5",60-65,"35,6","3024,3",50-55,25 000,7,17-19,
,,,,,5001-1000,"30,0","2547,5",60-65,"34,0","2888,1",50-55,,,,
,,,,,1001-2000,"28,9","2457,4",65-70,"32,9","2794,0",55-60,,,,
,,,,,2000 и более,"28,0","2382,9",70-75,"31,9","2709,3",60-65,,,,
 ,"Набор для игры в настольный теннис с индивидуальным дизайном

","""Набор для игры в настольный теннис из 2 ракеток и 3 мячиков. В комплекте — пыльник.
Материал: ракетки — каучук, древесина, мячик — пластик.
Размер: 26 х 15 см.
Материал пыльника: хлопок, 350 г/м².
Размер: 26 х 32 см.
Цвет: в ассортименте.
Персонализация: индвидуальный дизайн.
Упаковка: пыльник.""

","Материал: коучук, древесина, пластик, хлопок
Размер:  25*15 см
Упаковка: пыльник+пакет
В наборе: 2 ракетки, 3 мяча, пыльник
","Дизайн: нанесение лого на ракетку, выкрас ракетки в пантон. Нанесение лого на мешок Нанесение лого на мяч с одной стороны
шелкография на пыльнике",300-500,"25,4","2158,3",65-70,"29,5","2509,7",55-60,30 500,15,25-27,
,,,,,5001-1000,"24,6","2094,4",70-75,"28,7","2435,8",60-65,,,,
,,,,,1001-2000,"23,9","2031,1",75-80,"27,8","2362,5",65-70,,,,
,,,,,2000 и более,"23,2","1968,6",80-85,"26,9","2289,9",70-75,,,,
 ,"COMBO. Рюкзак. Вид 1.

","""Материал: регенерированный нейлон.
Размер: 30х42х18 см
Цвет: черный
Персонализация: флекстран, тиснение на стропе/резинке, кастомизация резинки.
Рюкзак подходит для двух съёмных маленьких навесных карманов или одного большого. Внутри два просторных отделения на молнии. Первое большое отделение для ноутбука с резинкой-фиксатором и для бутылки. Второе – с органайзером для паспорта, ручек, блокнота и других мелочей. Снаружи в нижней части рюкзака накладной карман. Сбоку сетка на затягивающейся брендированной резинке. На передней панели петли-крепления для съёмных карманов.""


","Материал: Re-nylon - материал из переработанного морского пластика
Размер: 30*42*18 см
Конструкция: Внутри два просторных отделения на молнии. Первое большое отделение для ноутбука с резинкой-фиксатором и для бутылки. Второе – с органайзером для паспорта, ручек, блокнота и других мелочей. Снаружи в нижней части рюкзака накладной карман. Сбоку сетка на затягивающейся брендированной резинке. На передней панели петли-крепления для съёмных карманов.
Упаковка: индивидуальный пакет"," Дизайн:  
- логотип флекстран на внешнем кармане
- тиснение на внутренней стропе
- нанесение логотипа на резиночке",300-500,"49,5","4202,9",55-60,"53,1","4513,5",45-50,29 000,10,20-22,
,,,,,5001-1000,"46,8","3978,8",55-60,"50,4","4279,7",45-50,,,,
,,,,,1001-2000,"45,0","3827,0",60-65,"48,5","4118,2",50-55,,,,
,,,,,2000 и более,"43,5","3698,7",65-70,"46,8","3980,2",55-60,,,,
 ,"COMBO. Рюкзак. Вид 2.

","""Материал: регенерированный нейлон.
Размер: 30х40х15 см
Цвет: черный
Персонализация: флекстран, тиснение на стропе/резинке, кастомизация резинки.
Рюкзак подходит для одного маленького съёмного навесного кармана. Внутри одно просторное отделение на молнии, отсек для ноутбука с резинкой-фиксатором. Снаружи в нижней части рюкзака накладной карман и сетка для бутылки на затягивающейся брендированной резинке. На передней панели петля-крепление для съёмного кармана, петля для обвесов и брелоков.""


","Материал: основной материал Renylon, подклад - нейлон 
Размер: 30*40*15 см
Конструкция: 
одно основное отделение: по задней стенке карман для ноутбука, по передней стенке - два вертикальных кармана для мелочей, тонкая резинка-стропа с карабином
внешние карманы: объемный карман на молнии, сетчатый карман на резиночке, 2 стропы с полукольцами для подвесов
На лямках: полукольца для подвесов, стропа с фастексом-застежкой для скрепления на груди
Упаковка: индивидуальный пакет"," Дизайн: нанесение логотипа на резиночке внешнего кармана 1 цвет, флекстран пвх логотип",300-500,"37,7","3202,9",55-60,"41,7","3546,6",45-50,19 900,10,20-22,
,,,,,5001-1000,"36,0","3059,4",55-60,"39,9","3393,2",45-50,,,,
,,,,,1001-2000,"34,9","2967,8",60-65,"38,7","3291,8",50-55,,,,
,,,,,2000 и более,"33,9","2876,9",65-70,"37,5","3191,1",55-60,,,,
 ,"COMBO. Навесные кармашки. Вид 1.

",""" 
  
Съемный навесной карман на металлическом карабине. Внутри одно отделение на молнии.  
Цвет: в ассортименте
Размер: 10 х 10 см
Материал:регенерированный нейлон, блазар, металлическая фурнитура графит.""


","Материал: регенерированный нейлон
Размер: 10*10 см
Упаковка: индивидуальный пакет", Дизайн: выбор цвета из раскладки,300-500,"6,0","508,6",55-60,"6,2","523,3",45-50,9 900,7,17-19,
,,,,,5001-1000,"5,8","491,8",55-60,"6,0","506,1",45-50,,,,
,,,,,1001-2000,"5,3","451,6",60-65,"5,5","465,5",50-55,,,,
,,,,,2000 и более,"5,1","436,9",65-70,"5,3","450,4",55-60,,,,
 ,"COMBO. Навесные кармашки. Вид 1.

",""" 
  
Съемный навесной карман на металлическом карабине. Внутри одно отделение на молнии.  
Цвет: в ассортименте
Размер: 10 х 10 см
Материал:регенерированный нейлон, блазар, металлическая фурнитура графит.""

","Материал: блазар
Размер: 10*10 см
Упаковка: индивидуальный пакет", Дизайн: выбор цвета из раскладки,300-500,"7,5","636,1",55-60,"7,7","652,5",45-50,9 900,7,17-19,
,,,,,5001-1000,"6,7","566,0",55-60,"6,9","581,9",45-50,,,,
,,,,,1001-2000,"6,4","547,7",60-65,"6,6","563,1",50-55,,,,
,,,,,2000 и более,"6,2","530,1",65-70,"6,4","545,1",55-60,,,,
 ,"COMBO. Поясная сумка.

","""Размер: 10 х 28 х 10 см
Материал: регенерированный нейлон.
Поясная сумка подходит для одного маленького съёмного навесного кармана. Внутри одно просторное отделение на молнии. Регулируемый ремень с фастексом и петлёй-креплением для съёмного кармана.""

","Материал: Re-nylon - материал из переработанного морского пластика
Размер: 10*28*10 см
Конструкция: одно основное отделение на молнии, полукольцо на тропе для подвеса кармана, ремувки или брелока
Упаковка: индивидуальный пакет"," Дизайн: 
- выбор цвета материала и фурнитуры
- логотип флекстран 1 цвет",300-500,"17,3","1469,1",55-60,"18,8","1593,4",45-50,12 000,10,20-22,
,,,,,5001-1000,"16,8","1424,8",55-60,"18,2","1545,6",45-50,,,,
,,,,,1001-2000,"14,9","1270,2",60-65,"16,3","1387,5",50-55,,,,
,,,,,2000 и более,"13,9","1183,9",65-70,"15,3","1297,6",55-60,,,,
 ,"COMBO. Навесные кармашки. Вид 2.

","""Размер: 20 х 10 см
Материал: блазар
Съемный навесной карман на металлическом карабине. Внутри одно отделение на молнии. ""


","Материал: блазар
Размер: 20*10 см
Упаковка: индивидуальный пакет", Дизайн: выбор цвета из раскладки,300-500,"8,3","708,4",55-60,"8,7","741,2",45-50,11 300,10,20-22,
,,,,,5001-1000,"7,5","636,2",55-60,"7,9","668,0",45-50,,,,
,,,,,1001-2000,"7,0","591,7",60-65,"7,3","622,6",50-55,,,,
,,,,,2000 и более,"6,7","573,0",65-70,"7,1","602,9",55-60,,,,
