,"Менеджер: Вязовский Иван
Email: ivan@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,ежедневник,"Материал: кожзам, твердая обложка
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов, 70 гр, одноцветная двухсторонняя печать", Дизайн: лого тиснением,300,"7,1","607,1",40-45,"8,8","750,1",30-35,9 000,7,17-19,
,,,,1000,"6,7","565,8",40-45,"8,3","708,9",30-35,,,,
 ,ежедневник,"Материал: кожзам, твердая обложка
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов, 70 гр, одноцветная двухсторонняя печать", Дизайн: без брендирования ,300,"7,1","605,1",40-45,"8,8","748,0",30-35,9 000,7,17-19,
,,,,1000,"6,7","563,7",40-45,"8,3","706,8",30-35,,,,
 ,ежедневник,"Материал: кожзам, твердая обложка, дутая
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов, 70 гр, одноцветная двухсторонняя печать"," Дизайн: уф печать, ляссе",300,"6,6","557,4",40-45,"8,2","700,4",30-35,9 000,7,17-19,
,,,,1000,"6,2","528,5",40-45,"7,9","671,6",30-35,,,,
 ,ежедневник,"Материал: кожзам, твердая обложка, дутая
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 128 листов, 70 гр, одноцветная двухсторонняя печать", Дизайн: без брендирования ,300,"6,6","555,1",40-45,"8,2","695,4",30-35,9 000,7,17-19,
,,,,1000,"6,2","523,5",40-45,"7,9","666,5",30-35,,,,
 ,ежедневник,"Материал: кожзам, мягкая
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 80 листов, 70 гр, одноцветная двухсторонняя печать"," Дизайн: уф печать,",300,"4,6","390,2",40-45,"5,6","472,8",30-35,9 000,7,17-19,
,,,,1000,"4,3","361,3",40-45,"5,2","444,0",30-35,,,,
 ,ежедневник,"Материал: кожзам, мягкая
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 80 листов, 70 гр, одноцветная двухсторонняя печать", Дизайн: без брендирования ,300,"4,6","385,1",40-45,"5,6","467,8",30-35,9 000,7,17-19,
,,,,1000,"4,3","356,3",40-45,"5,2","439,0",30-35,,,,
 ,ежедневник,"Материал: твердая 
Размер: а5
Упаковка: инд пакет
Примечание от фабрики: 80 листов, 70 гр, одноцветная двухсторонняя печать", Дизайн: без брендирования ,300,"4,6","392,1",40-45,"5,6","474,8",30-35,9 000,7,17-19,
,,,,1000,"4,3","363,3",40-45,"5,2","446,0",30-35,,,,
 ,ежедневник,"Материал: tpu, мягкая обложка
Размер: а5
Упаковка: инд пакет
128 листов, 70 гр, двухсторонняя одноцветная печать




"," Дизайн: тиснение, шильдик с гравировкой на ляссе, градиентная печать на срезе




",300,"5,8","489,2",45-50,"7,3","616,3",35-40,9 000,10,20-22,
,,,,1000,"5,6","472,8",45-50,"7,1","599,9",35-40,,,,
 ,ежедневник,"Материал: tpu, мягкая обложка
Размер: а5
Упаковка: инд пакет
128 листов, 70 гр, двухсторонняя одноцветная печать




", Дизайн: без брендирования ,300,"5,8","480,2",45-50,"7,3","607,3",35-40,9 000,10,20-22,
,,,,1000,"5,6","463,8",45-50,"7,1","591,9",35-40,,,,
,"ежедневник","Материал: кожзам, треугольная обложка
Размер: а5
Упаковка: инд пакет
128 листов, 70 гр, двухсторонняя одноцветная печать
","Дизайн: логотип тиснением


",2000,"6,4","546,5",45-50,"7,925","673,66",35-40,9000,7,17-19,
,"ежедневник","Материал: кожзам, треугольная обложка
Размер: а5
Упаковка: инд пакет
128 листов, 70 гр, двухсторонняя одноцветная печать
","Дизайн: без брендирования 


",2000,"6,4","543,5",45-50,"7,925","670,66",35-40,9000,7,17-19,
