,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,термосумка,"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 22.5*13*25.5 см
Упаковка: заводская упаковка
Примечание от фабрики: выкрас возможен только близкий к пантону, указанному клиентом, может быть небольшое отклонение от цвета, мин тираж на выкрас близкий к пантону 3000 шт", Дизайн: пвх бирка с лого компании,3000-5000,"3,6","333,3",60-65,,,,18 500,14,24-26,
 ,термосумка (альтернативный способ доставки),"Материал: алюминиевая фольга + жемчужный хлопок + оксфордская ткань
Размер: 22.5*13*25.5 см
Упаковка: заводская упаковка
Примечание от фабрики: выкрас возможен только близкий к пантону, указанному клиентом, может быть небольшое отклонение от цвета, мин тираж на выкрас близкий к пантону 3000 шт", Дизайн: пвх бирка с лого компании,3000-5000,"2,6","235,7",63-68,,,,18 500,14,24-26,
 ,термосумка,"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 20.5*15.5*16 см
Упаковка: заводская упаковка
Примечание от фабрики: выкрас возможен только близкий к пантону, указанному клиентом, может быть небольшое отклонение от цвета, мин тираж на выкрас близкий к пантону 3000 шт", Дизайн: пвх бирка с лого компании,3000-5000,"3,5","321,2",60-65,,,,18 500,14,24-26,
 ,термосумка (альтернативный способ доставки),"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 20.5*15.5*16 см
Упаковка: заводская упаковка
Примечание от фабрики: выкрас возможен только близкий к пантону, указанному клиентом, может быть небольшое отклонение от цвета, мин тираж на выкрас близкий к пантону 3000 шт", Дизайн: пвх бирка с лого компании,3000-5000,"2,4","222,8",63-68,,,,18 500,14,24-26,
 ,термосумка,"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 20.5*15.5*16 см
Упаковка: заводская упаковка
Примечание от фабрики: выкрас возможен только близкий к пантону, указанному клиентом, может быть небольшое отклонение от цвета, мин тираж на выкрас близкий к пантону 3000 шт", Дизайн: пвх бирка с лого компании,3000,"3,4","317,5",65-70,,,,сигнальный - 18000; сток - 4 500,"сток - 3-5, сигнальный 14-16","сток 17-19, сигнальный - 28-30",
 ,термосумка (альтернативный способ доставки),"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 20.5*15.5*16 см
Упаковка: заводская упаковка
Примечание от фабрики: стоковый цвет", Дизайн: без лого на такой тираж,1000,"1,9","177,6",63-68,,,,сток - 4 500,сток - 3-5 ,17-19,
 ,термосумка ,"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 20.5*15.5*16 см
Упаковка: заводская упаковка
Примечание от фабрики: стоковый цвет", Дизайн: без лого на такой тираж,1000,"3,2","296,1",65-70,,,,сток - 4 500,сток - 3-5 ,17-19,
 ,термосумка,"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 21*23*12 см
Упаковка: заводская упаковка
Примечание от фабрики: стоковый цвет, мин тираж на изменение цвета от 5000 шт, бирка с мишкой на фото убирается, на это место можно пришить лого компании, можно выбрать цвет только из предоставленной раскладки"," Дизайн: бирка из экокожи с лого компании,нашитая на сумку (пример расположения, где лого с мишкой)",1000,"3,5","320,0",55-60,,,,"сток - 4000, сигнальный - 15500",6,16-18,
 ,термосумка (альтернативный способ доставки),"Материал: алюминиевая фольга + хлопок + оксфордская ткань
Размер: 21*23*12 см
Упаковка: заводская упаковка
Примечание от фабрики: стоковый цвет, мин тираж на изменение цвета от 5000 шт, бирка с мишкой на фото убирается, на это место можно пришить лого компании, можно выбрать цвет только из предоставленной раскладки"," Дизайн: бирка из экокожи с лого компании,нашитая на сумку (пример расположения, где лого с мишкой)",1000,"2,4","221,2",50-55,,,,"сток - 4000, сигнальный - 15500",6,16-18,
