,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Коврик для мышки,"Материал: ткань Leica+силиконовая основа
Размер: 25*25 см
Цвет: серый
Кастомизация: термотрансферная печать 1 цвет
Упаковка: опп пакет","500

1000","5,26

5,10","503,77

488,50",45-50 кд,"5 396,48","5-8 кд фото/видео
12-14 кд доставка в мск",
,Кворик для мышки,"Материал: ткань Leica+силиконовая основа
Размер: 25*25 см
Цвет: черный
Кастомизация: термотрансферная печать 2 цвета
Упаковка: опп пакет","500

1000","5,57

5,40","533,41

517,24",45-50 кд,"5 396,48","5-8 кд фото/видео
12-14 кд доставка в мск",
,Чехол для ноутбука,"Материал: войлок, искусственная кожа
Размер: 44х30 см, ручки 29 см
Цвет: черный, серый, настройка цвета
- замена пуллеров 
- длину ручки увеличиваем на 7 см  
- хлястик на клепке убираем, оставляем молнию  
- ширину чехла увеличиваем на 2 см

Логотип: шелкография в один цвет либо лазерная гравировка

Упаковка в прозрачный пакет ",500,"8,3","802,0",40-45 календ.дней,6300 руб,22-24 календ.дня,
,,,1000,"8,1","785,8",,,,
,"Чехол для ноутбука

Замена материала ручек на искусственную кожу","Материал: войлок, искусственная кожа
Размер: Размер: 44х30 см, ручки 29 см
Цвет: черный, серый, настройка цвета
- замена пуллеров 
- длину ручки увеличиваем на 7 см  
- хлястик на клепке убираем, оставляем молнию  
- ширину чехла увеличиваем на 2 см

Логотип: шелкография в один цвет либо лазерная гравировка

Упаковка в прозрачный пакет ",500,"8,8","850,9",45-50 календ.дней,6300 руб,22-24 календ.дня,
,,,1000,"8,8","843,3",,,,
,"Чехол для ноутбука

Замена материала ручек на искусственную кожу
Оранжевый подклад","Материал: войлок, искусственная кожа
Размер: Размер: 44х30 см, ручки 29 см
Цвет: черный
- замена пуллеров 
- длину ручки увеличиваем на 7 см  
- хлястик на клепке убираем, оставляем молнию  
- ширину чехла увеличиваем на 2 см
- замена подклада

Логотип: ФСК тиснение бронзовой фольгой
(дополнительно нанесение логотипа ДСК на бирке: тиснение белой фольгой)

Упаковка в прозрачный пакет ",500,"10,6","968,2",45-50 календ.дней,6300 руб,"7-9 календ.дней - фото/видео

12-14 календ.дней - доставка в Москву",
,,,1000,"10,4","953,1",,,,
