,"Менеджер: Макарова Екатерина
Email: makarova.e@megamind.ru
Телефон: 
",,,,"Цена СЕБЕСТОИМОСТЬ ДЛЯ НАС (НАЦЕНКА 1,2)
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД в долгую,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,Тапки,"Материал: ЕВА
Размер: 35-48
Упаковка:  индивидуальный OPP пакет
Примечание от фабрики: 
на других цветах этой модели есть лого фабрики на ремешке
добавить наш лого можно только на цвет на фото

совмещать цвета из наличия можно от 1000шт"," Дизайн: 
лого на круглой детали
лого на ремешке - наклейка ",300,"12,0","1160,7",35-40,,,,"18 700,00",7,
,,,,,,,,,,,,,
 ,Тапки,"Материал: ЕВА
Размер: 35-44
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого - на кнопке - ларер - белый
лого на ремешке - наклейка",300,"8,7","848,0",35-40,,,,"4 800,00",7,
,,,,,,,,,,,,,
 ,Тапки,"Материал: ЕВА
Размер: 36-44
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: на этом варианте подошва не классическая"," Дизайн: 
лого - ПВХ наклейка на ремешок 
лого - гравировка на кнопке",300,"7,9","767,4",35-40,,,,через предтиражный,7-9,
,,,,,,,,,,,,,
 ,Тапки,"Материал: ЕВА
Размер: 36-44
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого - наклейка на ремешке",300,"10,1","986,5",35-40,,,,через предтиражный,5-7,
,,,,,,,,,,,,,
 ,Тапки,"Материал: искуственная кожа
Размер: 36-47
Упаковка: индивидуальная коробка
Примечание от фабрики: "," Дизайн: 
лого - шелкография на стельке (внутрення часть )",200,"15,5","1514,0",40-45,,,,"6 800,00",,
,,,,,,,,,,,,,
,Тапки,"Материал: ЕВА
Размер: 35-40
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого - шелкография на ремешке",300,"7,2","704,4",35-40,,,,через предтиражный,5-7,
,,,,,,,,,,,,,
 ,Тапки,"Материал: ЕВА
Размер: 35-46
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого на ремешке и кнопке -  гравировка
или наклейка",300,"9,3","903,1",35-40,,,,(300ю за лого ) образец через предтиражный,"через 5-7 дней фото видео


",
,,,,,,,,,,,,,
 ,Тапки,"Материал: ЕВА
Размер: 36-44
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого - наклейка на ремешке",300,"9,3","908,4",35-40,,,,через предтиражный,7-9,
,,,,,,,,,,,,,
 ,Тапки,"Материал: ПВХ
Размер: 36-45
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого - термопечать ( можно нанести по всей поверхности) 


Цена может немного меняться в зависимости от нашего макета ",200,"4,7","459,7",40-45,,,,"18 100,00",через 10-12 дней фото видео,
,,,,,,,,,,,,,
 ,Тапки,"Материал: ПВХ
Размер: 36-45
Упаковка: индивидуальный OPP пакет
Примечание от фабрики: "," Дизайн: 
лого - термопечать ( можно нанести по всей поверхности) 

Цена может немного меняться в зависимости от нашего макета",200,"6,8","666,8",40-45,,,,,,
,,,,,,,,,,,,,
 ,Джибитсы,"Материал: ПВХ
Размер: 2*2см
Упаковка: без упаковки
Примечание от фабрики: "," Дизайн: 
англ. алфавит 
2 наши формы: Хэдкоин, Хэдкорн",100,"0,6","56,0",40-45,,,,"открытие 2х форм + образец
21600,00","через 7-9 дней фото видео


",
,,,,1000,"0,5","45,2",40-45,,,,,,
 ,Джибитсы,"Материал: ПВХ
Размер: 2*2см
Упаковка: без упаковки
Примечание от фабрики: "," Дизайн: 
англ. алфавит 
",1000,"0,1","9,1",30-35,,,,"открытие 2х форм + образец
21600,00","через 7-9 дней фото видео


",
,,,,,,,,,,,,,
 ,Джибитсы,"Материал: ПВХ
Размер: 2*2см
Упаковка: без упаковки
Примечание от фабрики: "," Дизайн: 
англ. алфавит  -флуоресцентные
",1000,"0,1","9,9",30-35,,,,"открытие 2х форм + образец
21600,00","через 7-9 дней фото видео


",
