,"Менеджер: Червоненко Светлана
Email: sveta.ch@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
,Значок на подложке,"Значок металлический, штампованный, с эмалью по пантону не более 4-х цветов (горячего отверждения), односторонний, плоский, с никелевым покрытием.
Размер: 10–15 мм, толщина 1,2 мм.
Крепление: 1 застёжка-бабочка (цанга).
Упаковка:  
- картонная подложка плотностью 300гр, размер не более 4*4см, полноцветная печать 4+0
- пакет прозрачный, материал-полипропиленовая плёнка с клеевым клапаном, плотность не менее 30 мкм, размер в соответствии с размером картонки
Примечание от фабрики: цена примерная, окончательная стоимость формируется исходя из дизайна, размеров, тиража, цветовой гаммы, толщины металла и комплектующих, после проработки образца", Дизайн: индивидуальный дизайн в соответствии с макетом,301-500,"2,2","186,1",40-45,"2,2","188,0",30-35,"12800 - значок, 5800 - подложка",7,17-19,
,,,,501-1000,"1,5","131,1",40-45,"1,6","133,0",30-35,,,,
,,,,1001-2000,"1,1","90,3",41-46,"1,1","92,2",31-36,,,,
,,,,2001-3000,"0,8","71,1",42-47,"0,9","73,0",32-37,,,,
,,,,от 3001,"0,7","62,9",43-48,"0,8","64,8",33-38,,,,
 ,Значок на подложке,"Значок металлический, штампованный, с эмалью по пантону не более 4-х цветов (горячего отверждения), односторонний, плоский, с никелевым покрытием.
Размер: 25-30 мм, толщина 1,5 мм.
Крепление: 1 застёжка-бабочка (цанга).
Упаковка:  
- картонная подложка плотностью 300гр, размер не более 6*6см, полноцветная печать 4+0
- пакет прозрачный, материал-полипропиленовая плёнка с клеевым клапаном, плотность не менее 30 мкм, размер в соответствии с размером картонки
Примечание от фабрики: цена примерная, окончательная стоимость формируется исходя из дизайна, размеров, тиража, цветовой гаммы, толщины металла и комплектующих, после проработки образца", Дизайн: индивидуальный дизайн в соответствии с макетом,301-500,"2,4","204,8",40-45,"2,5","208,3",30-35,"13200 - значок, 5800 - подложка",7,17-19,
,,,,501-1000,"1,8","152,3",40-45,"1,8","155,8",30-35,,,,
,,,,1001-2000,"1,3","112,5",41-46,"1,4","116,1",31-36,,,,
,,,,2001-3000,"1,1","93,0",42-47,"1,1","96,6",32-37,,,,
,,,,от 3001,"1,0","85,1",43-48,"1,0","88,7",33-38,,,,
,Значок на подложке,"Значок металлический, штампованный, с эмалью по пантону не более 4-х цветов (горячего отверждения), односторонний, плоский, с никелевым покрытием.
Размер: 45-50 мм, толщина 2 мм.
Крепление: 2 застёжки-бабочки (цанга).
Упаковка:  
- картонная подложка плотностью 300гр, размер не более 8*8см, полноцветная печать 4+0
- пакет прозрачный, материал-полипропиленовая плёнка с клеевым клапаном, плотность не менее 30 мкм, размер в соответствии с размером картонки
Примечание от фабрики: цена примерная, окончательная стоимость формируется исходя из дизайна, размеров, тиража, цветовой гаммы, толщины металла и комплектующих, после проработки образца", Дизайн: индивидуальный дизайн в соответствии с макетом,301-500,"3,3","279,7",40-45,"3,4","290,0",30-35,"18100 - значок, 5800 - подложка",7,17-19,
,,,,501-1000,"2,6","217,6",40-45,"2,7","227,9",30-35,,,,
,,,,1001-2000,"2,1","175,1",41-46,"2,2","185,4",31-36,,,,
,,,,2001-3000,"1,8","154,6",42-47,"1,9","164,9",32-37,,,,
,,,,от 3001,"1,7","146,8",43-48,"1,9","157,1",33-38,,,,
,Значок на подложке,"Значок металлический, штампованный, с эмалью по пантону не более 4-х цветов (горячего отверждения), односторонний, плоский, с никелевым покрытием.
Размер: 10–15 мм, толщина 1,2 мм.
Крепление: 1 магнитная застёжка
Упаковка:  
- картонная подложка плотностью 300гр, размер не более 4*4см, полноцветная печать 4+0
- пакет прозрачный, материал-полипропиленовая плёнка с клеевым клапаном, плотность не менее 30 мкм, размер в соответствии с размером картонки
Примечание от фабрики: цена примерная, окончательная стоимость формируется исходя из дизайна, размеров, тиража, цветовой гаммы, толщины металла и комплектующих, после проработки образца", Дизайн: индивидуальный дизайн в соответствии с макетом,301-500,"2,42","206,01",40-45,"2,45","207,92",30-35,"12800 - значок, 5800 - подложка",7,17-19,
,,,,501-1000,"1,78","150,94",40-45,"1,80","152,85",30-35,,,,
,,,,1001-2000,"1,30","110,20",41-46,"1,32","112,11",31-36,,,,
,,,,2001-3000,"1,07","90,95",42-47,"1,09","92,86",32-37,,,,
,,,,от 3001,"0,97","82,79",43-48,"1,00","84,70",33-38,,,,
,Значок на подложке,"Значок металлический, штампованный, с эмалью по пантону не более 4-х цветов (горячего отверждения), односторонний, плоский, с никелевым покрытием.
Размер: 25-30 мм, толщина 1,5 мм.
Крепление: 1 магнитная застёжка
Упаковка:  
- картонная подложка плотностью 300гр, размер не более 6*6см, полноцветная печать 4+0
- пакет прозрачный, материал-полипропиленовая плёнка с клеевым клапаном, плотность не менее 30 мкм, размер в соответствии с размером картонки
Примечание от фабрики: цена примерная, окончательная стоимость формируется исходя из дизайна, размеров, тиража, цветовой гаммы, толщины металла и комплектующих, после проработки образца", Дизайн: индивидуальный дизайн в соответствии с макетом,301-500,"2,64","224,65",40-45,"2,69","228,23",30-35,"13200 - значок, 5800 - подложка",7,17-19,
,,,,501-1000,"2,03","172,15",40-45,"2,07","175,73",30-35,,,,
,,,,1001-2000,"1,56","132,41",41-46,"1,60","135,99",31-36,,,,
,,,,2001-3000,"1,33","112,91",42-47,"1,37","116,49",32-37,,,,
,,,,от 3001,"1,24","105,00",43-48,"1,28","108,58",33-38,,,,
,Значок на подложке,"Значок металлический, штампованный, с эмалью по пантону не более 4-х цветов (горячего отверждения), односторонний, плоский, с никелевым покрытием.
Размер: 45-50 мм, толщина 2 мм.
Крепление: 2 магнитные застёжки
Упаковка:  
- картонная подложка плотностью 300гр, размер не более 8*8см, полноцветная печать 4+0
- пакет прозрачный, материал-полипропиленовая плёнка с клеевым клапаном, плотность не менее 30 мкм, размер в соответствии с размером картонки
Примечание от фабрики: цена примерная, окончательная стоимость формируется исходя из дизайна, размеров, тиража, цветовой гаммы, толщины металла и комплектующих, после проработки образца", Дизайн: индивидуальный дизайн в соответствии с макетом,301-500,"3,52","299,56",40-45,"3,65","309,89",30-35,"18100 - значок, 5800 - подложка",7,17-19,
,,,,501-1000,"2,79","237,44",40-45,"2,92","247,78",30-35,,,,
,,,,1001-2000,"2,29","194,96",41-46,"2,42","205,30",31-36,,,,
,,,,2001-3000,"2,05","174,47",42-47,"2,17","184,80",32-37,,,,
,,,,от 3001,"1,96","166,64",43-48,"2,08","176,98",33-38,,,,
