,"Менеджер: 
Email: 
Телефон: ",,"Гуляева Мария
mariag@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Шнур ланъярд,"Материал: полиэстер, металлическая фурнитура
Диаметр:  8мм
Упаковка: ZIP пакет
Примечание от фабрики: выбор цвета из раскладки
Срок производства образца включен в срок тиража - согласование по фото/видео", Дизайн: УФ печать лого на PU или силиконовой бирке и вставке для телефона,500,,,  ,,"4,65",395.0, 197 500,35-40,"7,000",5,15-17,
,,,,1000,,,  ,,"4,46",379.0, 379 000,35-40,,,,
 ,Носки,"Материал: у стопы 95% хлопок, 5% спандекс; у резинки хлопок 70%, полиэстер 25%, спандекс 5%
Размер: 36-41 универсальный
Упаковка: OPP пакет
Примечание от фабрики: необходимо офрмление СС и ЧЗ (включено в стоимость)
Срок образца не включен в срок тиража"," Дизайн: выкрас в пантон, жаккардовое плетение лого",500,,,,,"5,18",440.0, 220 000,30-35,"8,200",7,10-12,
,,,,1000,,,  ,,"3,95",336.0, 336 000,30-35,,,,
 ,Головоломка-куб,"Материал: пластик
Размер: 
Упаковка: заводская коробка
Примечание от фабрики: Срок образца не включен в срок тиража
Минимальный тираж для брендирования-1000 штук", Дизайн: шелкография лого 1 цвет,1000,,,,,3.11,268.51 ₽, 268 508,35-40,"7,400",9,19-22,
 ,Головоломка,"Материал: металл
Размер: 40*40mm
Упаковка: Кастомная коробка по макету клиента
Примечание от фабрики: Срок образца не включен в срок тиража"," Дизайн: Лазерная гравировка по макету клиента на одной грани (можно другое количество, необходим пересчет), полноцветная запечатка коробки по макету клиента ",500,,,,,15.76,"1,339.87 ₽", 669 935,23--28,6700,3,13-15,
,,,,1000,,,  ,,13.89,"1,180.74 ₽",1 180 738,23-28,,,,
 ,Брелок-кликер с подсветкой,"Материал: пластик
Размер: ~9*9см
Упаковка: OPP пакет
Примечание от фабрики: 4 клавиши
 Срок образца не включен в срок тиража"," Дизайн: сублимация лого 1 клавиша, выкрас в пантон",500,,,,,"4,13",351.0, 175 500,30-35,"если не сложный дизайн, бесплатный образец",5,10-12,
,,,,1000,,,  ,,"3,8",323.0, 323 000,30-35,,,,
 ,Мультитул,"Материал: Нержавеющая сталь 
Размер: 12,1*3,5*2см
Упаковка: Индивидуальный чехол, картонная коробка
Примечание от фабрики:  цвета в наличии: серебряный и синий - 1000 штук, хаки-500 штук, черно-серебряный-900 штук"," Дизайн: Гравировка логотипа клиента, выбор цвета из ассортимента фабрики",500,,,,,27.58,"2,376.92 ₽",1 188 458,23-28,"18,700",3,13-15,
,,,,1000,,,  ,,24.49,"2,111.21 ₽",2 111 213,23-28,,,,
 ,Шоппер,"Материал: Нейлон
Размер: Индивидуально
Упаковка: ОРР пакет
Примечание от фабрики: Минимальный тираж-300 штук 
Возможна собсвтенная форма, а также подбор пуллеров, по желанию клиента"," Дизайн: Усиленное дно и стенки - визуал в доп фото, водонепроницаемая молния, жаккардовая бирка на сумке, удлиненная стропа с брендированием клиента методом шелкографии (+20р)- визуал в доп фото, внутренний карман, возможен выбор цвета ниток и внутреннего кармана, выбор ширины стропы (просчитана стандартная ширина стропы 2,5см) ",300,,,,,11.74,"1,009.54 ₽", 302 861,33-38,"9,800",7,17-19,
,,,,,,,  ,,,,,,,,,
 ,Шоппер,"Материал: Джинса
Размер: Индивидуально
Упаковка: ОРР пакет
Примечание от фабрики: Минимальный тираж-300 штук 
Возможно добавление карманов, молний, а также магнитов"," Дизайн: Индивидуальная форма по макету клиента, выбор цвета ткани, выбор плотности ткани",300,,,,,10.64,917.02 ₽, 275 107,33-38,"9,800",7,13-15,
,,,,,,,  ,,,,,,,,,
 ,Органайзер для проводов,"Материал: силикон
Размер: 
Цвет: серый, черный
Упаковка: фабричная коробка
Примечание от фабрики: от 1000 шт возможна настройка коробки по макету клиента за доп.плату", Дизайн: шелкография в один цвет,500,,,,,"7,65","652,52",326 260,30-35,"19,300",7,13-15,
,,,,1000,,,  ,,"7,42","632,51", 632 510,30-35,,,,
 ,Обвес с открывашкой,"Материал: веревка 6 мм, ПВХ, сплав металла
Размер: примерно 15 см
Упаковка: прозрачный пакет
Примечание от фабрики: стоимость ориентировочная, окончательная после предоставления макетов и изготовления образца

Открытие форм ПВХ включено в стоимость

Кликер не включен в стоимость"," Дизайн: 2 ПВХ бирки с логотипом с двух сторон, гравировка на открывашке с одной стороны",500,,,,,"6,91","606,20", 303 100,33-38,"35,600",7,13-15,
,,,,1000,,,  ,,"6,54","575,01", 575 010,33-38,,,,
 ,Антистресс- змейка,"Материал: пластик
Размер: 6х4х5 см
Цвет: фиолетовый
Упаковка: прозрачный пакет
"," Дизайн: тампопечать в один цвет, 1 место нанесения",500,,,,,"1,58","139,33",69 665,33-38,"14,400",7,13-15,
,,,,1000,,,  ,,"1,41","125,77", 125 770,33-38,,,,
