,"Менеджер: 
Email: 
Телефон: ",,"Волкова Екатерина
ekaterinav@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, 
руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Русское лото,"Материал: дерево, картон
Размер: бочонок (90 шт) 2.2 х 1.8 см, карточки (24 шт) 21.5 х 8 см, мешочек 28 х 22 см, коробка 23 x 12,5 x 7,5 см
Упаковка: цветная коробка
Примечание от фабрики: необходима проработка макета и образца для подтверждения стоимости", Дизайн: брендирование коробки,2000,"9,89","830,55",1 661 100,55-60,"11,33","951,51",1 903 020,45-50,"12,950",7,17-19,
 ,Ночник медуза,"Материал: пластик
Размер: 17 х 9.5 х 6.5 см
Упаковка: цветная коробка
Характеристики: зарядка от type-c, емкость аккумулятора 900 мАч
Примечание от фабрики: необходима проработка макета и образца для подтверждения стоимости", Дизайн: гравировка лого на подставке,2000,"11,17","937,96",1 875 920,55-60,"12,31","1034,30",2 068 600,45-50,"6,450",7,17-19,
 ,Игрушечная лошадь,"Материал: фарфор
Размер: 8*5*1 см
Упаковка: индивидуальная коробка
Примечание от фабрики: считали по референсу, цена примерная; точную стоимость возможно дать после макета с размерами и отработки образца"," Дизайн: пр-во с нуля - открытие формы по макету, выкрас всей фигурки в 1 цвет",2000,"24,67","2086,69",4 173 380,130-140,"25,63","2174,78",4 349 560,120-130,"36,000",25,35-37,
 ,Увлажнитель,"Материал: ABS+PP+электронные компоненты
Размер: 166×166×190 мм
Упаковка: коробка
Примечание: серты ДС и СС включены в стоимость (100000 руб.)
Технички: 
Вход для зарядки: DC 5V/1A
Мощность: 3W
Рабочий ток: 700mA
Таймер: Непрерывное распыление — 10 часов, прерывистое распыление — 20 часов
Размер упаковки: 187×187×222 мм", Дизайн: лого шелкографией 1 цвет,1200,"24,5","2146,8",2 576 160,50-55,"29,1","2571,3",3 085 560,40-45,"8,750",5,15-17,
,,,,2500,"22,9","2009,9",5 024 750,,"27,4","2427,1",6 067 750,,,,,
 ,Диффузор для автомобиля,"Материал: металл, пластик
Размер: 12 × 9 × 15 см
Упаковка: индивидуальная цветная коробка сток
Примечание от фабрики: потребуется подтверждение по макету и по образцу", Дизайн: лого шекография,1200,"19,7","1653,7",1 984 440,55-60,"21,3","1787,1",2 144 520,45-50,8 500,7,17-19,
 ,Проигрыватель для пластинок,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,1200,"112,4","9443,8",11 332 560,60-65,"129,2","10855,9",13 027 080,50-55,17 000,10,20-22,
