,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,,,"Цена учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,,Доставка АВИА,,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $, без НДС","Цена за шт., руб, без НДС","Цена за шт., $, с НДС","Цена за шт., руб, с НДС","Срок тиража, к.д.","Цена за шт., $, без НДС","Цена за шт., руб, без НДС","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Картхолдер красный для телефона на магните,"Материал: PU
Размер: 65 х 95 мм
Упаковка: сток пакетик
Примечание от фабрики: ","Дизайн: сток, без тиснения",100,"3,0","309,9","3,2","326,3",50-55,"3,2","326,4","3,3","343,6",40-45,9 800,10,20-22,
,,,,300,"2,9","299,2","3,1","314,9",,"3,1","315,6","3,2","332,3",,,,,
,,,,500,"2,7","282,9","2,9","297,8",,"2,9","299,4","3,1","315,1",,,,,
,,,,1000,"2,7","281,3","2,9","296,1",,"2,9","297,8","3,0","313,4",,,,,
,,,"Дизайн: тиснение лого, от 1000 шт выкрас в пантон 185С (до 1000 шт стоковый красный - необходимо подтверждение цвета с картами пантон)",100,"3,5","358,1","3,7","376,9",60-65,"3,6","375,5","3,8","395,3",55-60,9 800,20,30-32,
,,,,300,"3,4","346,7","3,5","364,9",,"3,5","364,1","3,7","383,3",,,,,
,,,,500,"3,3","344,4","3,5","362,5",,"3,5","361,8","3,7","380,9",,,,,
,,,,1000,"3,3","342,7","3,5","360,7",,"3,5","360,1","3,7","379,1",,,,,
,"Картхолдер красный для телефона на магните
","Материал: PU
Размер: 65 х 95 мм
Упаковка: сток пакетик
Примечание от фабрики: предложение от другой фабрики
","Дизайн: сток, без тиснения
",100,"2,4","247,1","2,5","260,1",40-45,"2,5","259,5","2,7","273,2",30-35,7 700,7,17-19,
,,,,300,"2,3","236,0","2,4","248,4",,"2,4","248,4","2,5","261,5",,,,,
,,,,500,"2,3","233,8","2,4","246,1",,"2,4","246,2","2,5","259,2",,,,,
,,,,1000,"2,3","232,1","2,4","244,3",,"2,4","244,5","2,5","257,4",,,,,
 ,Картхолдер красный для телефона на магните,"Материал: натуральная кожа
Размер: 65 х 95 мм
Упаковка: сток пакетик
Примечание от фабрики: ","Дизайн: сток, без тиснения",100,"7,2","746,7","7,6","786,0",55-60,"7,4","764,1","7,8","804,3",50-55,9 800,15,25-27, 
,,,,300,"7,1","735,3","7,5","774,0",,"7,3","752,7","7,7","792,3",,,,,
