,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Проектор,"Материал: пластик
Размер: 12 х 10 х 11 см
Упаковка: инд коробка
Характеристики:  LCD дисплей, разрешение 480 х 320 (поддержка 1080р), формат изображения 16:9, HDMI, USB, слот для TF-карты, аудиовыход

необходимо оформление ДС (15 000) и СС (85000), не входит в стоимость долгой доставки", Дизайн: печать лого,450,"123,2","10470,7",50-55,"128,4","10916,9",40-45,12 500,7,17-19,
,,,,500,"115,4","9808,1",,"120,6","10254,4",,,,,
,,,,450,"72,3","6142,9",60-65 (долгое жд),"76,5","6499,9",50-55 (долгое авиа),,,,
,,,,500,"64,7","5502,6",,"68,9","5859,6",,,,,
 ,Пенал (без наполнения),"Материал: силикон
Размер: 19 х 6.5 см / 12 х 6.5 см
Упаковка: инд пакет", Дизайн: сток (брендирование от 3000 шт),450,"4,5","381,3",27-32,"5,0","428,3",17-22,2 300,2,12-14,
,,,,500,"4,5","380,9",,"5,0","428,0",,,,,
 ,Пенал (без наполнения),"Материал: экокожа
Размер: 20.5 х 9 х 4.5 см
Упаковка: инд пакет", Дизайн: сток,450,"1,7","145,7",32-37,"2,0","171,8",22-27,1 660,2,12-14,
,,,,500,"1,7","140,0",,"2,0","166,1",,,,,
 ,Игрушка на палец,"Материал: фетр (толщина на выбор от 5 до 8 мм)
Размер: 6 х 8 см
Упаковка: инд пакет", Дизайн: индивидуальная форма (лама),200,"0,9","74,4",30-35,"1,0","83,6",20-25,3 500,5,10-12,
,,,,300,"0,8","71,5",,"1,0","80,6",,,,,
 ,Игрушка на руку,"Материал: плюш
Размер: 23 - 25 см
Упаковка: инд пакет", Дизайн: индивидуальная форма (лама),500 (мин),"6,9","588,0",60-65,"7,9","674,4",50-55,18 360,12,22-24,
 ,Головоломка,"Материал: пластик
Размер: 14.5 х 9.8 х 3 см
Упаковка: инд коробка"," Дизайн: печать лого, шелкография",450,"3,3","277,5",35-40,"3,9","331,7",25-30,5 260,5,15-17,
,,,,500,"3,2","270,9",,"3,8","325,0",,,,,
,Ночник/светильник в виде Ламы,"Материал: силикон 
Размер: 15х7,5х16 см
Упаковка: сток ",Дизайн: цифровая печать ,450,"2,6","224,0",45-50,"3,1","261,1",35-40,10 800,7,17-19,
,,,,500,"2,6","223,6",,"3,1","260,7",,,,,
,Проектор звездного неба в виде Ламы,"Материал: полиэстер, электроника
Размер: 18х16х31 см
Упаковка: сток 
Примечание: дышащая игрушка с проекцией звёздного неба: светящаяся музыкальная плюшевая игрушка с функцией убаюкивания для младенцев",Дизайн: сток,450,"16,2","1375,2",35-40,"24,2","2054,0",25-30,7 000,5,15-17,
,,,,500,"16,2","1374,8",,"24,2","2053,6",,,,,
,Ночник в виде ламы,"Материал: пластик 
Размер: 11,5х7х12 см
Упаковка: сток ",Дизайн: тампопечать,1000,"3,9","330,3",40-45,"4,5","379,7",30-35,10 800,10,20-22,
,Фонарик-проектор,"Материал: пластик 
Размер: 11,5 х 4,3 см
Упаковка: сток 
Примечание: необходимо подтверждение стоимости ",Дизайн: нанесение логотипа,5000,"1,1","90,3",45-50,"1,1","96,3",35-40,6 700,5,15-17,
,,,Дизайн: индивидуальная картинка,15000,"1,1","90,1",,"1,1","96,1",,25 100,10,20-22,
