,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,Доставка АВИА,,,Образец,,Доп. фото
,,,,,Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. ($.):,Цена за шт. (руб.):,"Срок тиража, к.д.",Цена за шт. (руб.):,"Срок образца, к.д.",
 ,"Диспенсер для мыла
1","Материал: АБС+ПП
Размер: 191*114*81 мм
Объём: 420 мл
Упаковка: заводская коробка
Примечание от фабрики: есть наклейка-крючок для того, чтобы повешать на стену. HD-цифровой дисплей. Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.


Требуется ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: лазерная гравировка,100,,,,"17,67","1 800,40",36-41 кд,"5 000,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
1

(альтернативный способ доставки)","Материал: АБС+ПП
Размер: 191*114*81 мм
Объём: 420 мл
Упаковка: заводская коробка
Примечание от фабрики: есть наклейка-крючок для того, чтобы повешать на стену. HD-цифровой дисплей. Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.

", Дизайн: лазерная гравировка,100,,,,"16,24","1 644,89",35-40 кд,"5 000,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
2","Материал: АБС+силикагель
Размер: 75*180*108 мм
Объём: 280 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.


Требуется ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: шелкография 1 цвет,100,,,,"20,78","2 117,56",33-38 кд,"12 500,00","8-10 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
2

(альтернативный способ доставки)","Материал: АБС+силикагель
Размер: 75*180*108 мм
Объём: 280 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.


", Дизайн: шелкография 1 цвет,100,,,,"19,11","1 935,32",32-37 кд,"12 500,00","8-10 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
3","Материал: АБС
Размер: 185*95 мм
Объём: 400 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.


Требуется ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: лазерная гравировка,100,,,,"14,94","1 525,04",33-38 кд,"5 000,00","6-8 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
3

(альтернативный способ доставки)","Материал: АБС
Размер: 185*95 мм
Объём: 400 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.


", Дизайн: лазерная гравировка,100,,,,"13,65","1 385,08",32-37 кд,"5 000,00","6-8 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
4","Материал: АБС
Размер: 215*99*89 мм
Объём: 400 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.


Требуется ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: лазерная гравировка,100,,,,"20,39","2 075,82",30-35 кд,"12 500,00","6-8 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
4
(альтернативный способ доставки)","Материал: АБС
Размер: 215*99*89 мм
Объём: 400 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 1200 мАч.

", Дизайн: лазерная гравировка,100,,,,"18,78","1 900,87",29-34 кд,"12 500,00","6-8 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
5","Материал: АБС
Размер: 70*98*219 мм
Объём: 300 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 800 мАч.


Требуется ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: лазерная гравировка,100,,,,"21,3","2 158,73",30-35 кд,"5 500,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
5
(альтернативный способ доставки)","Материал: АБС
Размер: 70*98*219 мм
Объём: 300 мл
Упаковка: заводская коробка
Примечание от фабрики: Зарядка от USB. Водонепроницаемый. Ёмкость аккумулятора 800 мАч.

", Дизайн: лазерная гравировка,100,,,,"19,92","2 008,08",29-34 кд,"5 500,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
6","Материал: АБС
Размер: 198*71 мм
Объём: 350 мл
Упаковка: заводская коробка
Примечание от фабрики: Работает от батареек, 4 щелочные батареи 3А. Водонепроницаемый. 


Требуется ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: шелкография 1 цвет,100,,,,"14,09","1 441,41",33-38 кд,"20 500,00","12-15 кд фото и видео

12-14 кд доставка в Мск",
 ,"Диспенсер для мыла
6
(альтернативный способ доставки)","Материал: АБС
Размер: 198*71 мм
Объём: 350 мл
Упаковка: заводская коробка
Примечание от фабрики: Работает от батареек, 4 щелочные батареи 3А. Водонепроницаемый. 

", Дизайн: шелкография 1 цвет,100,,,,"12,85","1 306,42",32-37 кд,"20 500,00","12-15 кд фото и видео

12-14 кд доставка в Мск",
 ,"Коробка
(указана примерная цена, точная после предоставления точного макета)","Материал: картон
Размер: 210.5*110*80 мм
Упаковка: заводская упаковка", Дизайн: изготовление по макету клиента,100,,,,"8,33","834,53","производство:

20 кд","11 000,00","7-9 кд фото и видео

12-14 кд доставка в Мск",
 ,увлажнитель-арома,"Материал: АБС, PP, электронные компоненты
Размер:   116*116*110 мм
Объём: 80 мл
Упаковка: заводская коробка
Примечание от фабрики: 5 Вт, постоянный ток/2 А, зарядка Type C, ароматерапевтический аппарат с вулканической лавой, добавляется очищенная вода, а затем добавляется арома-масло в воду. 

Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: шелкография 1 цвет,100,,,,"19,77","2 036,27",32-42 кд,"10 000,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,увлажнитель-арома,"Материал: АБС, PP, электрогнные компоненты
Размер:  132*132*108 мм
Объём: 280 мл
Упаковка: заводская коробка
Примечание от фабрики: 5 Вт, постоянный ток/2 А, зарядка Type C, ароматерапевтический аппарат с вулканической лавой, добавляется очищенная вода, а затем добавляется арома-масло в воду. 

Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: шелкография 1 цвет,100,,,,"18,12","1 856,63",32-37 кд,"9 000,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,увлажнитель-арома,"Материал: АБС, электронные элементы
Размер: : 202*170*300 мм
Объём: 4 л
Упаковка: заводская коробка
Примечание от фабрики: номинальная мощность: 25 Вт;
номинальное напряжение: 220 В-50 Гц, есть специальный отсек для арома-масла (в доп фото), есть сенсорная панель для управления. 

Требутся ДС и СС , примерная стоимость 100000 руб, не включено в стоимость.", Дизайн: шелкография 1 цвет,100,,,,"21,09","2 171,57",47-57 кд,"10 900,00","7-9 кд фото и видео

12-14 кд доставка в Мск",
 ,"Коробка для увлажнителя
(указана примерная цена, точная после предоставления точного макета)","Материал: картон
Размер: размеры  116*116*110 мм, 132*132*108 мм, 202*170*300 мм
Упаковка: заводская упаковка", Дизайн: изготовление по макету клиента,100,,,,"9,56","973,73","производство:

20 кд","11 000,00","7-9 кд фото и видео

12-14 кд доставка в Мск",
 ,увлажнитель-арома (альтернативный способ доставки),"Материал: АБС, PP, электронные компоненты
Размер:   116*116*110 мм
Объём: 80 мл
Упаковка: заводская коробка
Примечание от фабрики: 5 Вт, постоянный ток/2 А, зарядка Type C, ароматерапевтический аппарат с вулканической лавой, добавляется очищенная вода, а затем добавляется арома-масло в воду. ", Дизайн: шелкография 1 цвет,100,,,,"18,29","1 837,09",29-39 кд,"10 000,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,увлажнитель-арома (альтернативный способ доставки),"Материал: АБС, PP, электрогнные компоненты
Размер:  132*132*108 мм
Объём: 280 мл
Упаковка: заводская коробка
Примечание от фабрики: 5 Вт, постоянный ток/2 А, зарядка Type C, ароматерапевтический аппарат с вулканической лавой, добавляется очищенная вода, а затем добавляется арома-масло в воду. ", Дизайн: шелкография 1 цвет,100,,,,"17,03","1 736,40",29-39 кд,"9 000,00","5-7 кд фото и видео

12-14 кд доставка в Мск",
 ,увлажнитель-арома (альтернативный способ доставки),"Материал: АБС, электронные элементы
Размер: : 202*170*300 мм
Объём: 4 л
Упаковка: заводская коробка
Примечание от фабрики: номинальная мощность: 25 Вт;
номинальное напряжение: 220 В-50 Гц, есть специальный отсек для арома-масла (в доп фото), есть сенсорная панель для управления. ", Дизайн: шелкография 1 цвет,100,,,,"19,52","1 998,80",42-52,"10 900,00","7-9 кд фото и видео

12-14 кд доставка в Мск",
