,"Менеджер: Хартова Диана Игоревна
Email: diana@megamind.ru
Телефон: 
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,
Фото,Наименование,Описание,"Тираж, шт",Цена за шт. ($.):,Цена за шт. (руб.):,Срок тиража,Образец ,Срок образца,Доп. фото
,Кружки,"Материал: керамика
Объем: 350 мл. 
Печать на коробочке включена в стоимость
Печать на кружке + выбор цвета",500,"9,2","854,0",55-60 кд,"20 700,00 ₽","15 кд - фото+видео
+10-12 кд - доставка",
,Кружка,"Материал: керамика
Цвет: серый, по референсу
Объём: 300 мл
Индивидуальная упаковка в картонную коробку, белый цвет
Кастом: печать одноцветного лого, вертикально",100,"6,8","636,2",32-37 кд,"6364,74",15-17 кд,
,Кружка,"Материал: керамика
Цвет: серый 
Объём: 300-400 мл, объём можно увеличить при заказе большего количества
Кастом: печать одноцветного лого",500,"5,9","553,8",55-60 кд,"11565,14",13-17 кд,
,Кружка,"Материал: керамика
Цвет: серый 
Объём: 460 мл
Кастом: печать одноцветного лого, на дне кружки",300,"8,8","819,7",40-45 кд,"9485,9",17-19 кд,
,Кружка,"Материал: керамика
Цвет: тёмно-серый, бежевый, белый 
Объём: 450 мл
Кастом: печать одноцветного лого, на дне кружки
",300,"7,3","679,3",40-45 кд,"8945,65",17-19 кд,
,Кружка-хамелеон,"Материал: керамика
Объем: 300 мл.
Внутри белая, снаружи черная
Нанесение: печать 2 цвета","300
500
1000","4,28
3,98
3,88","421,94
391,94
381,91",35-40 кд,"7080,1","5-8 (фото+видео)
17-25 (с доставкой)",
,Кружка-хамелеон,"Материал: керамика
Объем: 300 мл.
Внутри белая, снаружи черная
Нанесение: печать 2 цвета
В белой коробочке","300
500
1000","4,40
4,09
3,99","433,03
403,03
393,01",35-40 кд,"7080,1","5-8 (фото+видео)
17-25 (с доставкой)",
,Футболка со вставкой для стикеров (велкрой),"Материал: Футер 2х-нитка, Состав: 95% хб, 5% лайкра
Плотность: 250 г/м2
Бирка: жаккард на рукаве с логотипом, размер 7*4 см, цветность 2+0",2000,"20,8","2025,6","40-50 кд (производство)
+25-30 кд (доставка)","12 361,84 ₽","7-10 кд (фото+видео)
+10-12 кд (доставка в Москву)",
,Стикеры,"Материал: ПВХ
Обратная сторона: липучка",6000,"0,7","63,0","12-15 кд (производство)
+25-30 кд (доставка)","11 974,08 ₽ 
(за 3 вида)","5-7 кд (фото+видео)
+10-12 кд (доставка в Москву)",
,Кепка,,"500
1000
1500","5,68
5,35
5,34","527,86
497,61
497,01","35-40 кд
35-40 кд
40-45 кд","10 781,86 ₽","3-5 кд (фото+видео)
15-20 кд - с доставкой",
,футболка 1,,"1000
1500
2000","17,17
16,58
16,29","1596,35
1542,04
1514,89",55-60 кд,"10 604,59 ₽","7 кд (фото+видео)
17-20 кд - с доставкой",
,футболка 2,,"1000
1500
2000","16,59
16,29
16,00","1542,61
1515,17
1488,01",55-60 кд,"10 604,59 ₽","7 кд (фото+видео)
17-20 кд - с доставкой",
,футболка 3-4,,"1000
1500
2000","18,32
17,74
17,44","1703,83
1649,52
1622,37",55-65 кд,"15 978,69 ₽","7 кд (фото+видео)
17-20 кд - с доставкой",
,Футболка промо,,"1000
1500
2000","15,15
14,63
14,37","1408,54
1360,62
1336,66",55-60 кд,"10 604,59 ₽","7 кд (фото+видео)
17-20 кд - с доставкой",
,"Кепки (фабрика 1)
с выставки",Нанесение: вышивка+шевроны из полиэстра,"500
1000
1500","10,35
9,80
9,33","957,11
906,71
862,84",50-60 кд,"19081,37","10 кд - фото+видео
+10-12 кд - доставка",
,"Кепки (фабрика 2)
с выставки в Москве",Нанесение: вышивка,"500
1000
1500","10,58
9,66
9,62","978,76
893,18
889,90",60-80 кд,"19081,37","10 кд - фото+видео
+10-12 кд - доставка",
,"Кепки (фабрика 2)
с выставки в Москве",Нанесение: вышивка+ тканые шевроны,"500
1000
1500","11,58
10,65
10,62","1070,77
985,18
981,91",60-80 кд,"19081,37","10 кд - фото+видео
+10-12 кд - доставка",
,Флешка,128 гигов +лого,300,"13,0","1205,4",50-55 кд,,,
,Флешка,32 гига + лого,1000,"5,2","484,5",40-45 кд,,,
,Флешка,"Материал: ПВХ
2 гб",1000,"5,0","463,1",45-50 кд,,,
,,"Материал: ПВХ
4 гб",1000,"5,2","476,6",45-50 кд,,,
,Коробка 1,"Картон
Примерный размер: 10*5*3
Нужны образцы",1000,"8,3","768,5",45-50 кд,"12 943,55 ₽","5 кд - фото+видео
+10-12 кд - доставка",
,Коробка 2,"Картон+ложемент ЕВА
Примерный размер: 10*5*3
Нужны образцы",1000,"8,4","776,6",45-50 кд,"12 943,55 ₽","5 кд - фото+видео
+10-12 кд - доставка",
