,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Монетница ,"Материал: tpu
Размер: 15*15
Упаковка: пакет 
Примечание от фабрики: ",Дизайн: брендированый пуллер и жаккардовый  держатель на стропе,1000,"11,3","947,1","947 080,00",70-75,"12,5","1053,2","1 053 170,00",60-65,15 000,10,20-22,
,,,,2000,"11,1","929,5","1 859 060,00",70-75,"12,3","1033,8","2 067 500,00",60-65,,,,
,,,,3000,"11,0","921,4","2 764 110,00",75-80,"12,2","1027,5","3 082 380,00",65-70,,,,
,,,,4000,"10,6","913,8","3 655 200,00",75-80,"12,0","1018,8","4 075 200,00",65-70,,,,
,,,,5000,"10,8","906,9","4 534 450,00",75-80,"11,9","1010,2","5 050 950,00",65-70,,,,
 ,Чехол для ноутбука,"Материал: tpu
Размер: 15*15
Упаковка: пакет 
Примечание от фабрики: ",Дизайн: Нанесение на пуллер и тиснение  3-5см,1000,"15,90","1391,69","1 391 690,00",70-75,"18,00","1570,03","1 570 030,00",60-65,15 000,10,20-22,
,,,,2000,"15,74","1378,40","2 756 800,00",70-75,"17,84","1556,75","3 113 500,00",60-65,,,,
,,,,3000,"15,59","1375,69","4 127 070,00",75-80,"17,69","1544,03","4 632 090,00",65-70,,,,
,,,,4000,"15,7","1364, 15",5 456 600,75-80,"17,6","1537,5","6 150 000,00",65-70,,,,
,,,,5000,"15,44","1353,03","6 765 150,00",75-80,"17,54","1531,37","7 656 850,00",65-70,,,,
 ,шнурок ,"Материал: полиэстер
Размер: толщина 7 мм, длина шнурка 69см
Упаковка: пакет 
Примечание от фабрики: ","Дизайн: цвет шнурка по раскладке от фабрики, выкрас металл фурнитцры и бирки с логотипом ",1000,3.38,"283,77","283 770,00",70-75,"3,56","298,77","298 770,00",60-65,8 600,10,20-22,
,,,,2000,"3,35","281,26","562 520,00",70-75,"3,53","295,17","590 340,00",60-65,,,,
,,,,3000,"3,28","275,35","826 050,00",75-80,"3,46","289,35","868 050,00",65-70,,,,
,,,,4000,"3,2","270,0",5 456 600,75-80,"3,4","282,9","1 131 400,00",65-70,,,,
,,,,5000,"3,17","263,77","1 318 850,00",75-80,"3631,00","277,41","1 387 050,00",65-70,,,,
 ,ежедневнки ,"Материал:  tpu
Размер: А5.& кремовая бумага, 256 страниц, цвет 1+1
Упаковка: пакет 
Примечание от фабрики:  Возможно сделать в тираже обложки и срезы блока разных цветов","Дизайн: Ляссе с металлическим шильдом
Градиентный прокрас среза блока",1000,"6,29","528,29","528 290,00",70-75,"8,16","685,37","685 370,00",60-65,9 300,7,17-19,
,,,,2000,"6,06","509,10","1 018 200,00",70-75,"7,91","664,33","1 328 660,00",60-65,,,,
,,,,3000,"5,96","500,96","1 502 880,00",75-80,"7,80","655,27","1 965 810,00",65-70,,,,
,,,,4000,"5,9","493,0",5 456 600,75-80,"7,7","646,4","2 585 640,00",65-70,,,,
,,,,5000,"5,75","482,82","2 414 100,00",75-80,"7,56","635,28","3 176 400,00",65-70,,,,
