,"Менеджер: 
Email: 
Телефон: ",,"Бицоева Алёна
bitsoyeva@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец ,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Тамагочи ,"Материал: ABS пластик, железная цепочка
Батарейки: 2 шт LR44 в комплекте 
Размер: 5,5 х 5,5 х 2 см
Упаковка: заводской полиэтиленовый пакет 
Примечание от фабрики: кастом от 1000 шт, на тираж 200 шт расчет на стоковые позиции  ",Дизайн: логотип компании над экраном (для тиражей 1200/1400 шт),200,"1,5","554,1","110 820,00",50-55,"1,6","555,6","111 120,00",40-55,"9 651,7
(кастомизированный образец)",7-10,19-22,
,,,,1200,"1,8","225,7","270 840,00",,"2,0","235,2","282 240,00",,,,,
,,,,1400,"1,5","182,4","255 360,00",,"1,6","186,6","261 240,00",,,,,
 ,Коробка для тамагочи ,"Материал: картон
Размер: 10 х 7 х 4 см
Материал: мелованный картон 250-300 г/м²
Цвет: полноцвет CMYK, ламинация
Форма: стандартная прямоугольная, с клапаном для вскрытия сверху",Дизайн: полностью кастомизирован по макету клиента,200,"2,4","200,9","40 180,00",50-55,"2,5","205,4","41 080,00",40-55,8483,7-10,19-22,
,,,,1200,"0,7","59,3","71 160,00",,"0,8","63,6","76 320,00",,,,,
 ,Шнурок,"Материал: паракорд
Размер: 120 см, диаметр шнурка 8 мм
Упаковка: инд коробка
Примечание от фабрики: необходоимо подтверждение наличия перед заказом","Дизайн: сток

Раскладка: https://disk.360.yandex.com.am/d/UiI_rQ6IzE9KIg",200,"4,5","374,7","74 932,00",35-40,"4,7","395,8","79 166,00",25-30,1950,2,12-15,
,,,,1200,"4,2","354,2","424 980,00",45-55,"4,5","375,3","450 384,00",35-45,,,,
,,,,1400,"4,2","350,0","490 014,00",,"4,4","370,9","519 316,00",,,,,
 ,Шоппер,"Материал: хлопок
Размер: 35 х 40 х 4 см, ручки 54 х 2.5 см
Фурнитура: 3 карабина, колечко (серебряный цвет)
Конструктив: основное отделение без застежки, фурнитура крепится к ручке или к петельке на шоппере
Упаковка: инд пакет
Значок: цинковый сплав, 2 х 2 см, заливка эмалью, застежка бабочка
Примечание от фабрики: необходима проработка образца для подтверждения стоимости","Дизайн: DTF-печать с одной стороны, инд дизайн значка",200,"7,3","609,9","121 988,00",55-60,"7,8","653,6","130 720,00",45-50,"11120 - все вместе
4850 - шоппер
7500 - значок","12
10
7","22-24
20-22
17-19",
,,,,1200,"6,7","563,4","676 092,00",,"7,2","607,1","728 484,00",,,,,
,,,,1400,"6,6","556,9","779 716,00",,"7,1","600,1","840 154,00",,,,,
 ,Шоппер,"Материал: хлопок
Размер: 35 х 40 х 4 см, ручки 54 х 2.5 см
Фурнитура: 3 карабина, колечко (серебряный цвет)
Конструктив: основное отделение без застежки, фурнитура крепится к ручке или к петельке на шоппере
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости","Дизайн: DTF-печать с одной стороны, инд дизайн значка",200,"5,9","498,1","99 610,00",50-55,"6,5","541,7","108 342,00",40-45,4850,10,20-22,
,,,,1200,"5,8","482,8","579 300,00",,"6,3","526,4","631 692,00",,,,,
,,,,1400,"5,7","477,2","668 038,00",,"6,2","520,4","728 490,00",,,,,
,Значок,"Материал: цинковый сплав
Размер: 2 х 2 см
Застежка: цанга-бабочка
Упаковка: инд пакет
Примечание от фабрики: необходима проработка образца для подтверждения стоимости","Дизайн: DTF-печать с одной стороны, инд дизайн значка",200,"1,7","142,7","28 544,00",50-55,"1,7","146,0","29 208,00",40-45,7500,7,17-19,
,,,,1200,"1,3","106,6","127 908,00",,"1,3","109,9","131 904,00",,,,,
,,,,1400,"1,2","101,2","141 652,00",,"1,2","104,5","146 300,00",,,,,
