,"Менеджер: 
Email: 
Телефон: ",,"Киселева Екатерина
katya.e@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Бутылка,"Материал: нержавейка 304 и 201
Размер: 500 мл, 7.4 х 23.5 см
Упаковка: коробка
Примечание от фабрики: необходима проработка образца","Дизайн: выкрас в пантон, круговая УФ печать",300,"9,8","846,9",254 058,50-55,"10,6","924,7",277 410,40-45,7 750,5,15-17,
,,,,500,"9,3","808,4",404 180,,"10,1","884,1",442 025,,,,,
,,,,1000,"8,9","775,8",775 810,,"9,7","849,8",849 760,,,,,
 ,Рюкзак,"Материал: композитный материал
Размер: согласно образцу
Упаковка: пакет
Примечание от фабрики: необходима проработка образца","Дизайн: ПВХ логотип, печать лого, фурнитура, застежки",300,"67,7","5808,1",1 742 430,65-70,"71,3","6140,7",1 842 222,55-60,22 400,15,25-27,
,,,,500,"62,7","5391,5",2 695 735,,"66,2","5714,9",2 857 435,,,,,
,,,,1000,"58,3","5019,4",5 019 350,,"61,8","5335,4",5 335 360,,,,,
 ,"Брелок
","Материал: полиэстер, металл
Размер: 15 см
Упаковка: сток
Примечание от фабрики: требуется подтверждение по макету и образцу","Дизайн: Серый шнурок из паракорда с красной (близкой к Pantone 185 C). и белой бусинами (15 см);
акриловый брелок в форме облака (5,5х3 см) с Уф-запечаткой градиента на кольце-тросике (10 см);
металлическая пластина с гравировкой 7х3 см;
звездочка из ПВХ, 185С пантон (4х4 см);
металлический красный карабин (близкий к Pantone 185 C) (9 см)",500,"11,8","990,4",495 175,60-65,"12,3","1031,0",515 495,50-55,14 000,15,25-27,
,,,,1000,"11,8","988,7",988 650,,"12,3","1029,3",1 029 290,,,,,
,,,,1500,"11,8","988,1",1 482 135,,"12,3","1028,7",1 543 080,,,,,
 ,Чехол для телефона с отверстием для джиббитсов,"Материал: силикон
Модель: от IP 11
Упаковка: пакет
Примечание от фабрики: необходимо подтверждение стока перед заказом",Дизайн: сток,300,"2,6","220,2",66 057,35-40,"3,0","247,7",74 304,25-30,1 850,2,12-14,
,,,,500,"2,6","214,9",107 455,,"2,9","242,4",121 200,,,,,
,,,,1000,"2,5","210,3",210 270,,"2,8","237,8",237 750,,,,,
 ,Чехол для телефона с отверстием для джиббитсов,"Материал: силикон
Модель: от IP 11
Упаковка: пакет
Примечание от фабрики: необходимо подтверждение стока перед заказом",Дизайн: выкрас в пантон,500,"3,6","299,5",149 745,35-40,"3,8","319,8",159 905,25-30,11 800,2,12-14,
,,,,1000,"3,4","284,7",284 680,,"3,6","305,0",305 000,,,,,
 ,плед ,"Материал: дюсп,  80гр синпепон
Размер: 100х150см
Упаковка: пакет
Примечание от фабрики: ",Дизайн: сублимация,300,"24,6","2064,6",619 386,80-85,"26,3","2207,4",662 226,70-75,14 600,10,20-22,
,,,,500,"24,4","2050,2",1 025 115,80-85,"26,1","2192,2",1 096 095,70-75,,,,
 ,Монетница,"Материал: tpu 
Материал подкладки: полиэстер 135 гр
Размер: 10.5*10*1.5 см
Фурнитура: стандартная молния и пуллер коллекции
Одно центральное отделение
Толщина шнурка: 7 мм, длина шнурка 6-69см","Дизайн: брендированный пуллер, бирка на шнурке с логотипом",300,"14,174","1204,82",361 446,75-80,"15,510","1318,31",395 493,65-70,15 000,10,20-22,
,,,,500,"11,222","953,89",476 946,75-80,"12,557","1067,38",533 692,65-70,,,,
 ,плед ,"Материал: tpu 
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Размер рюкзака: 53,5*38*10,5 см
Размер внешнего кармана: 25,5*28 см
Размер лямки: 47*5,6 см
Размер спинки: 27*34 см
Длина водотталкивающей молнии внешнего кармана: 26 см 
Размер внешей кожзам застежки: 2,3 см*35 см",Дизайн: брендированный пуллер,300,"44,037","3963,29",1 188 986,75-80,"49,094","4418,46",1 325 538,65-70,15 000,10,20-22,
,,,,500,"37,352","3361,70",1 680 849,75-80,"42,112","3790,10",1 895 049,65-70,,,,
,холдер для бутылки,"Материал: 
Размер: 8,6*18 (подходит для бутылки диаметром 7,2 см)
Высота тканевой затяжной части: 2 см
Материал подкладки: полиэстер 135 гр
Материал вставки-наполнителя: пенополиэтилен
Ширина стропы: 3 см
Длина стропы: 136 см",Дизайн: сублимация на стропе,300,"18,102","1629,22",488 767,75-80,"19,912","1792,10",537 631,65-70,15 000,10,20-22,
,,,,500,"15,195","1367,58",683 790,75-80,"17,005","1530,46",765 230,65-70,,,,
