,"Менеджер: 
Email: 
Телефон: ",,"Червоненко Светлана
sveta.ch@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,Набор надувных шаров,"Материал: ПВХ
Размер: 2 шт - 0,6 м, 1 шт - 0,8 м, 1 шт - 1 м, 1 шт - 1,2 м, 1 шт - 1,8 м
Упаковка: пакет + транспортная коробка",Дизайн: из наличия,3,"888,9","74665,9","223 997,70",35-40,"991,3","83272,5","249 817,38",25-30,131 000,10,20-22,
,,,,5,"860,1","72249,9","361 249,25",,"959,6","80603,3","403 016,35",,,,,
 ,Кубок 1,"Материал: металл
Размер: см. видео
Упаковка: индивидуальная коробка
Примечание от фабрики: именно аналогичную награду фабрика продавать не может, это была прошлая их работа для клиента и на сайте она выставлена как пример, поэтому дана цена на открытие индивидуальной формы, минимального тиража нет
Цена примерная, точная стоимость после проработки формы","Дизайн: выбор цвета - золотой/серебряный, индивидуальная форма логотипа сверху, нанесение - гравировка/печать/без",10,"64,1","5382,2","53 821,50",40-45,"68,5","5751,8","57 517,50",30-35,20 000,12,22-24,
,,,,30,"59,4","4986,4","149 591,10",,"63,5","5337,5","160 124,70",,,,,
,,,,80,"55,8","4686,4","374 914,40",,"59,8","5019,1","401 525,60",,,,,
 ,Кубок 2,"Материал: металл
Размер: 60*60*280 мм
Упаковка: индивидуальная коробка
Примечание от фабрики: именно аналогичную награду фабрика продавать не может, это была прошлая их работа для клиента и на сайте она выставлена как пример, поэтому дана цена на открытие индивидуальной формы, минимальный тираж 20 шт
Цена примерная, точная стоимость после проработки формы",Дизайн: индивидуальная форма,20,"180,4","15151,4","303 028,00",40-45,"200,2","16814,6","336 292,00",30-35,113 000,15,25-27,
,,,,30,"171,0","14362,2","430 864,80",,"189,8","15942,2","478 266,00",,,,,
,,,,80,"161,5","13568,8","1 085 500,80",,"179,4","15065,6","1 205 251,20",,,,,
 ,Кубок 3,"Материал: алюминиевый сплав
Размер: 248*50*50 мм
Упаковка: индивидуальная коробка",Дизайн: печать / гравировка / выдавливание логотипа,10,"98,5","8276,8","82 767,90",35-40,"106,9","8979,0","89 790,30",25-30,11 800,3,13-15,
,,,,30,"92,1","7736,3","232 088,40",,"100,0","8403,4","252 102,30",,,,,
,,,,80,"86,8","7291,6","583 328,80",,"94,3","7923,6","633 889,60",,,,,
 ,Кубок 4,"Материал: алюминиевый сплав
Размер: 260*65*65 мм
Упаковка: индивидуальная коробка",Дизайн: гравировка (белый цвет),10,"101,0","8487,6","84 875,70",35-40,"106,9","8980,4","89 803,70",25-30,10 200,3,13-15,
,,,,30,"92,2","7744,3","232 328,40",,"97,8","8212,4","246 373,20",,,,,
,,,,80,"82,9","6960,9","556 875,20",,"88,2","7404,5","592 356,80",,,,,
 ,Кубок 5,"Материал: цинковый сплав
Размер: 350*90*90 мм
Упаковка: индивидуальная коробка",Дизайн: уф печать / гравировка,10,"179,0","15033,9","150 339,00",35-40,"188,1","15803,9","158 039,00",25-30,16 900,6,16-18,
,,,,30,"168,5","14155,5","424 666,20",40-45,"177,2","14887,0","446 611,20",30-35,,,,
,,,,80,"149,9","12592,4","1 007 395,20",45-50,"158,2","13285,4","1 062 835,20",35-40,,,,
