,"Менеджер: 
Email: 
Телефон: ",,"Волкова Екатерина
ekaterinav@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
Фото,Наименование,Характеристики,Кастом,"Тираж, шт",Доставка ЖД,,,,Доставка АВИА,,,,Образец,,,Доп. фото
,,,,,"Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., $","Цена за шт., руб","Итого, руб","Срок тиража, к.д.","Цена за шт., руб","Срок фото и видео, к.д.","Срок с доставкой, к.д.",
 ,"Салфетка 2в1

","Материал: микрофибра 
Размер: 20 х 20 см 
Упаковка: пакет 
Примечание от фабрики: необходимо подтвердить наличие перед заказом",Дизайн: индивидуальный по образцу,1500,"1,9","157,3",235 950,60-65,"2,0","166,2",249 300,50-55,8 000,15,25-27,
,,,,500,"1,95","164,1",82 050,60-65,"2,1","173,4",86 685,50-55,,,,
 ,"Держатель-кронштейн для телефона

","Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: необходимо подтвердить наличие перед заказом",Дизайн: сток,1500,"2,7","223,0",334 425,50-55,"2,9","243,1",364 605,40-45,4 000,7,17-19,
,,,,50,"3,1","258,0",12 898,50-55,"2,9","240,0",11 998,40-45,,,,
,,,,100,"3,3","278,1",27 807,50-55,"3,1","260,1",26 007,40-45,,,,
,Шарики антистресс,"Материал: силикон
Размер: 2.4 х 2.2 см
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый",Дизайн: сток,1500,"3,6","309,5",464 235,40-45,"3,9","343,5",515 175,30-35,2350 (4 шарика),3,13-15,
,,"
В упаковке: 6 шт 
",,1500,5,"430,8",646 185,,"5,5","479,3",718 950,,2750 (6 шариков),,,
,,"Материал: силикон
Размер: 2.4 х 2.2 см
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый",Дизайн: сток,50,"4,6","393,9",19 696,40-45,5,"427,9",21 394,30-35,2350 (4 шарика),3,13-15,
,,"
В упаковке: 6 шт 
",,50,"5, 8","502,6",25 129,,"6,4","551,1",27 554,,2750 (6 шариков),,,
,,"Материал: силикон
Размер: 2.4 х 2.2 см
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый",Дизайн: сток,100,"4,4","376,4",37 642,40-45,"4,7","410,4",41 037,30-35,2350 (4 шарика),3,13-15,
,,"
В упаковке: 6 шт 
",,100,"5, 6","485,1",48 507,,"6,1","533,6",53 358,,2750 (6 шариков),,,
,,"
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый и голубой (необходимо согласовать цвета по пантону всех 4х шариков)",Дизайн: выкрас шариков в пантон,2000,"3,6","312,7",625 300,45-50,"4,0","345,6",691 280,35-40,17970 (выкрас),5,15-17,
,,,,2500,"3, 4","291,4",728 425,,"3,7","323,4",808 450,,,,,
,Пробки для бутылок (в форме шапок),"Материал: силикон
Размер: 6 х 4.8 х 0.5 см
Упаковка: опп пакет
Примечание от фабрики: сток фиолетовый цвет
* В упаковке 1 шт, цена за шт",Дизайн: сток,1500,"0,9","79,1",118 710,35-40,"1,1","94,5",141 765,25-30,2200,2,12-14,
